,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,With health insurance coverage,With private health insurance,With public coverage,No health insurance coverage
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",93.7,77.3,24.5,6.3
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",92.1,44.2,53.6,7.9
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",94.9,85.4,16.4,5.1
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",94.2,92.0,4.9,5.8
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",95.1,94.1,1.3,4.9
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",98.8,93.9,7.8,1.2
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",91.5,65.3,32.7,8.5
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",94.7,84.4,17.4,5.3
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",95.4,82.9,21.8,4.6
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",94.6,84.6,16.4,5.4
10,10013.0,220,708,31.07,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",93.6,74.6,24.3,6.4
11,10014.0,269,783,34.36,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",96.7,88.1,16.8,3.3
12,10016.0,610,2006,30.41,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",96.0,87.2,17.0,4.0
13,10017.0,125,498,25.1,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",95.1,86.6,22.4,4.9
14,10018.0,193,565,34.16,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",92.9,83.4,11.4,7.1
15,10019.0,527,1562,33.74,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",94.2,78.6,23.1,5.8
16,10021.0,495,1708,28.98,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",96.6,85.7,22.2,3.4
17,10022.0,299,1082,27.63,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",97.5,84.8,27.6,2.5
18,10023.0,496,1708,29.04,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",96.1,85.3,23.2,3.9
19,10024.0,576,1874,30.74,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",94.6,83.5,22.7,5.4
20,10025.0,1101,3191,34.5,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",94.5,76.7,30.4,5.5
21,10026.0,564,1482,38.06,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",91.0,55.0,40.3,9.0
22,10027.0,854,2149,39.74,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",91.4,58.9,38.2,8.6
23,10028.0,429,1488,28.83,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",94.9,84.4,21.5,5.1
24,10029.0,1559,3562,43.77,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",89.1,46.4,49.1,10.9
25,10030.0,428,1027,41.67,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",87.4,42.7,49.9,12.6
26,10031.0,1082,2279,47.48,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",84.3,44.9,43.8,15.7
27,10032.0,1255,2700,46.48,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",84.9,42.5,48.6,15.1
28,10033.0,1130,2407,46.95,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",88.6,47.8,45.8,11.4
29,10034.0,600,1457,41.18,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",87.2,45.6,49.5,12.8
30,10035.0,805,1789,45.0,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",87.2,38.4,53.0,12.8
31,10036.0,363,1058,34.31,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",93.5,77.4,23.2,6.5
32,10037.0,371,902,41.13,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",91.2,52.0,49.2,8.8
