,Unnamed: 0,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household,Weighted Avg
0,0,10001.0,314,912,34.43,10001,New York,NY,40.750742,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",11031,53.44,31.22,8.87,4.4,1.21,0.61,0.26,1.7161999999999997
1,1,10002.0,890,2122,41.94,10002,New York,NY,40.71704,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",32925,35.53,29.4,14.27,10.15,5.38,2.57,2.7,2.3896
2,2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",28559,56.26,30.82,8.24,3.63,0.79,0.18,0.08,1.6273
3,3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000002,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",4251,50.04,37.07,9.1,3.13,0.54,0.09,0.02,1.6738
4,4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",1791,49.58,37.52,9.21,2.85,0.56,0.28,0.0,1.6813000000000002
5,5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",2840,37.04,33.94,14.58,11.27,2.82,0.35,0.0,2.0994
6,6,10009.0,613,1803,34.0,10009,New York,NY,40.727092999999996,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",30182,42.52,32.84,14.21,6.66,2.24,0.87,0.66,1.9851
7,7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",16556,53.24,32.13,9.21,4.23,0.85,0.25,0.1,1.685
8,8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",30294,58.48,29.54,6.81,3.74,0.97,0.28,0.18,1.6074000000000002
9,9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",13338,52.62,32.7,8.43,4.5,1.19,0.33,0.22,1.7078000000000002
10,10,10013.0,220,708,31.07,10013,New York,NY,40.720666,-74.00525999999998,"40.720666,-74.00526",1361,8710000US3610013,"ZCTA5 10013, New York",12096,39.2,32.01,13.93,9.78,3.1,1.17,0.81,2.1231999999999998
11,11,10014.0,269,783,34.36,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",734,8710000US3610014,"ZCTA5 10014, New York",19790,58.65,30.1,6.8,3.28,0.91,0.18,0.08,1.5856000000000001
12,12,10016.0,610,2006,30.41,10016,New York,NY,40.74618,-73.97759,"40.74618,-73.97759",1061,8710000US3610016,"ZCTA5 10016, New York",32173,54.61,33.04,8.32,3.11,0.65,0.19,0.08,1.6303999999999998
13,13,10017.0,125,498,25.1,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",1518,8710000US3610017,"ZCTA5 10017, New York",10763,62.0,28.06,6.55,2.66,0.57,0.12,0.05,1.5232999999999999
14,14,10018.0,193,565,34.16,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",832,8710000US3610018,"ZCTA5 10018, New York",3065,56.51,29.76,8.94,3.07,1.14,0.49,0.1,1.6447
15,15,10019.0,527,1562,33.74,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",519,8710000US3610019,"ZCTA5 10019, New York",25905,56.01,31.51,7.8,3.37,0.8,0.32,0.19,1.6316
16,16,10021.0,495,1708,28.98,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",344,8710000US3610021,"ZCTA5 10021, New York",24734,54.47,29.9,8.01,5.67,1.57,0.3,0.08,1.7119
17,17,10022.0,299,1082,27.63,10022,New York,NY,40.75901500000001,-73.96732,"40.759015,-73.96732",1709,8710000US3610022,"ZCTA5 10022, New York",19253,56.39,31.81,6.81,4.02,0.75,0.17,0.05,1.6163999999999998
18,18,10023.0,496,1708,29.04,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",809,8710000US3610023,"ZCTA5 10023, New York",34383,54.27,29.42,8.72,5.64,1.54,0.3,0.12,1.7217000000000002
19,19,10024.0,576,1874,30.74,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",716,8710000US3610024,"ZCTA5 10024, New York",30836,48.11,31.02,10.07,7.67,2.38,0.53,0.23,1.8773000000000002
20,20,10025.0,1101,3191,34.5,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",157,8710000US3610025,"ZCTA5 10025, New York",44432,44.54,30.86,12.79,7.96,2.56,0.73,0.55,1.975
21,21,10026.0,564,1482,38.06,10026,New York,NY,40.802853000000006,-73.95470999999998,"40.802853,-73.95471",1657,8710000US3610026,"ZCTA5 10026, New York",14199,38.05,28.48,15.15,9.88,4.75,1.89,1.8,2.2767
22,22,10027.0,854,2149,39.74,10027,New York,NY,40.812665,-73.95499000000002,"40.812665,-73.95499",291,8710000US3610027,"ZCTA5 10027, New York",22839,37.94,29.75,14.88,9.45,4.63,1.8,1.56,2.2475
23,23,10028.0,429,1488,28.83,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",1403,8710000US3610028,"ZCTA5 10028, New York",25158,51.63,30.3,8.8,6.82,1.91,0.46,0.08,1.7878
24,24,10029.0,1559,3562,43.77,10029,New York,NY,40.791586,-73.94575,"40.791586,-73.94575",468,8710000US3610029,"ZCTA5 10029, New York",29378,34.55,27.96,16.1,10.58,5.74,2.71,2.35,2.425
25,25,10030.0,428,1027,41.67,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",353,8710000US3610030,"ZCTA5 10030, New York",11395,41.64,24.74,14.36,9.94,4.91,2.23,2.18,2.2714999999999996
26,26,10031.0,1082,2279,47.48,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",626,8710000US3610031,"ZCTA5 10031, New York",20638,31.14,25.37,16.69,11.62,7.04,3.89,4.26,2.6679000000000004
27,27,10032.0,1255,2700,46.48,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",1,8710000US3610032,"ZCTA5 10032, New York",20228,28.67,25.45,17.33,12.65,7.48,4.04,4.38,2.7446
28,28,10033.0,1130,2407,46.95,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",869,8710000US3610033,"ZCTA5 10033, New York",18975,26.96,27.17,17.4,12.98,7.52,3.77,4.21,2.7511
29,29,10034.0,600,1457,41.18,10034,New York,NY,40.867653,-73.92,"40.867653,-73.92",1304,8710000US3610034,"ZCTA5 10034, New York",15007,30.88,28.13,17.0,11.75,6.38,3.15,2.71,2.5491
30,30,10035.0,805,1789,45.0,10035,New York,NY,40.802395,-73.93359,"40.802395,-73.93359",1072,8710000US3610035,"ZCTA5 10035, New York",12775,38.72,25.01,14.52,9.62,6.12,2.99,3.01,2.4038999999999997
31,31,10036.0,363,1058,34.31,10036,New York,NY,40.759511,-73.99019,"40.759511,-73.99019",1529,8710000US3610036,"ZCTA5 10036, New York",15183,58.74,29.55,7.56,2.93,0.8,0.2,0.22,1.5898
32,32,10037.0,371,902,41.13,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",1043,8710000US3610037,"ZCTA5 10037, New York",8885,50.39,26.78,11.84,6.53,2.75,1.18,0.54,1.902
33,33,10038.0,221,588,37.59,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",555,8710000US3610038,"ZCTA5 10038, New York",9410,40.14,37.66,12.24,6.48,2.0,0.69,0.79,1.9776999999999998
34,34,10039.0,439,1089,40.31,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",643,8710000US3610039,"ZCTA5 10039, New York",10070,34.57,28.57,16.67,10.28,5.19,2.56,2.15,2.392
35,35,10040.0,865,1843,46.93,10040,New York,NY,40.858704,-73.92853000000002,"40.858704,-73.92853",1436,8710000US3610040,"ZCTA5 10040, New York",15718,31.09,26.81,16.67,12.73,6.64,3.16,2.9,2.5810000000000004
36,36,10044.0,183,424,43.16,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",1792,8710000US3610044,"ZCTA5 10044, New York",4501,37.86,31.53,15.04,10.31,3.31,1.22,0.73,2.1626
37,37,10069.0,46,169,27.22,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",782,8710000US3610069,"ZCTA5 10069, New York",2696,43.36,34.05,11.5,8.9,1.89,0.26,0.04,1.9284999999999999
38,38,10128.0,558,2040,27.35,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",1350,8710000US3610128,"ZCTA5 10128, New York",32306,47.77,31.94,10.88,6.77,2.1,0.43,0.11,1.8522
39,39,10280.0,38,178,21.35,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",1472,8710000US3610280,"ZCTA5 10280, New York",4053,41.65,35.36,13.42,7.45,1.65,0.37,0.1,1.936
40,40,10282.0,64,177,36.16,10282,New York,NY,40.717179,-74.01433,"40.717179,-74.01433",847,8710000US3610282,"ZCTA5 10282, New York",2215,34.99,32.51,16.98,13.0,2.26,0.18,0.09,2.1595999999999997
41,41,10301.0,1020,2501,40.78,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",1273,8710000US3610301,"ZCTA5 10301, New York",14719,33.64,27.67,15.02,12.03,6.16,2.83,2.64,2.4842
42,42,10302.0,567,1279,44.33,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",1412,8710000US3610302,"ZCTA5 10302, New York",6002,23.28,22.69,16.34,16.03,10.21,5.15,6.3,3.0785
43,43,10303.0,762,1807,42.17,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",985,8710000US3610303,"ZCTA5 10303, New York",8239,19.74,22.68,19.76,16.39,10.79,5.49,5.16,3.1295000000000006
44,44,10304.0,1248,2973,41.98,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",1466,8710000US3610304,"ZCTA5 10304, New York",14438,25.23,25.6,18.38,15.07,8.44,3.98,3.3,2.8103
45,45,10305.0,1104,2906,37.99,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",1653,8710000US3610305,"ZCTA5 10305, New York",15145,25.98,27.21,17.96,16.24,7.63,2.96,2.03,2.6936
46,46,10306.0,1316,3757,35.03,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",485,8710000US3610306,"ZCTA5 10306, New York",20856,25.13,28.9,17.83,16.95,7.48,2.43,1.27,2.6509000000000005
47,47,10307.0,354,1005,35.22,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",1742,8710000US3610307,"ZCTA5 10307, New York",4925,22.86,25.18,17.4,19.78,10.03,3.39,1.36,2.845500000000001
48,48,10308.0,587,1756,33.43,10308,Staten Island,NY,40.55135300000001,-74.15098,"40.551353,-74.15098",71,8710000US3610308,"ZCTA5 10308, New York",10142,22.71,29.76,18.1,18.69,7.63,2.17,0.94,2.6904000000000003
49,49,10309.0,783,2254,34.74,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",1128,8710000US3610309,"ZCTA5 10309, New York",10962,21.04,25.98,18.34,21.05,9.18,3.13,1.3,2.86
50,50,10310.0,663,1721,38.52,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",1787,8710000US3610310,"ZCTA5 10310, New York",8361,23.45,24.61,17.44,16.76,9.86,3.9,3.98,2.9259000000000004
51,51,10312.0,1389,3818,36.38,10312,Staten Island,NY,40.543117,-74.17628,"40.543117,-74.17628",937,8710000US3610312,"ZCTA5 10312, New York",21018,20.36,28.36,19.24,19.26,8.78,2.84,1.17,2.8097
52,52,10314.0,2436,6329,38.49,10314,Staten Island,NY,40.606337,-74.14513000000002,"40.606337,-74.14513",565,8710000US3610314,"ZCTA5 10314, New York",30709,23.57,29.35,18.12,16.13,7.88,2.92,2.04,2.7235
53,53,10451.0,1429,3063,46.65,10451,Bronx,NY,40.819729,-73.9223,"40.819729,-73.9223",1678,8710000US3610451,"ZCTA5 10451, New York",17106,32.46,23.89,16.85,12.55,7.3,3.64,3.32,2.6257
54,54,10452.0,2016,4323,46.63,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",1295,8710000US3610452,"ZCTA5 10452, New York",24796,23.91,22.02,19.62,15.99,9.69,4.5,4.27,2.9611
55,55,10453.0,2012,4329,46.48,10453,Bronx,NY,40.853017,-73.91214000000002,"40.853017,-73.91214",1335,8710000US3610453,"ZCTA5 10453, New York",25307,23.23,22.29,19.82,15.92,9.67,4.73,4.34,2.9805999999999995
56,56,10454.0,982,2197,44.7,10454,Bronx,NY,40.805968,-73.91628,"40.805968,-73.91628",918,8710000US3610454,"ZCTA5 10454, New York",11978,26.14,21.68,18.08,13.68,9.48,5.23,5.7,2.9714
57,57,10455.0,1098,2340,46.92,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771",1133,8710000US3610455,"ZCTA5 10455, New York",12880,25.13,22.42,18.45,14.77,9.74,5.01,4.48,2.9452
58,58,10456.0,2162,4842,44.65,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856",212,8710000US3610456,"ZCTA5 10456, New York",28122,25.01,22.32,18.9,14.79,9.63,4.84,4.51,2.9427
59,59,10457.0,1805,4017,44.93,10457,Bronx,NY,40.846745,-73.89860999999998,"40.846745,-73.89861",264,8710000US3610457,"ZCTA5 10457, New York",22873,25.28,22.08,18.77,15.46,9.35,4.69,4.37,2.9307
60,60,10458.0,1759,3943,44.61,10458,Bronx,NY,40.864166,-73.88880999999998,"40.864166,-73.88881",658,8710000US3610458,"ZCTA5 10458, New York",26201,26.21,22.61,18.83,14.96,8.81,4.4,4.18,2.8747000000000003
61,61,10459.0,1315,2719,48.36,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",698,8710000US3610459,"ZCTA5 10459, New York",15398,24.74,21.47,19.85,15.53,9.59,4.6,4.21,2.9437
