,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Median household income (dollars),Median family income (dollars),Median nonfamily income (dollars),Median earnings for workers (dollars),"Median earnings for male full-time, year-round workers (dollars)","Median earnings for female full-time, year-round workers (dollars)"
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",85168,94286,78438,69355,100380,80795
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",35594,37786,29945,32844,51289,46638
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",100791,165417,85202,66660,106031,81565
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",130116,212569,108519,81189,128340,77112
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",125364,137500,110729,89849,115200,80517
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",234958,250000,157841,137376,250000,151140
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",60788,58931,61452,52330,72906,62679
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",110142,170284,88133,81070,112538,93989
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",114134,192234,94554,84217,120332,91719
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",101815,149094,84530,75176,101089,82421
10,10013.0,220,708,31.07,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",104167,128721,76741,62333,117327,80992
11,10014.0,269,783,34.36,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",119026,190865,95100,87742,131250,91319
12,10016.0,610,2006,30.41,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",102703,166016,85822,82154,103979,85060
13,10017.0,125,498,25.1,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",106795,187356,83385,82413,103238,80272
14,10018.0,193,565,34.16,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",105479,129583,100913,80747,100968,82139
15,10019.0,527,1562,33.74,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",94477,139947,80592,74604,103051,82824
16,10021.0,495,1708,28.98,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",115681,232484,74155,84018,106734,91235
17,10022.0,299,1082,27.63,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",123693,243125,90522,94439,125866,93181
18,10023.0,496,1708,29.04,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",115080,201076,85261,93017,141167,99355
19,10024.0,576,1874,30.74,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",118594,187229,76866,71936,120302,86535
20,10025.0,1101,3191,34.5,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",80025,135425,58540,57228,101015,71840
21,10026.0,564,1482,38.06,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",52082,57521,47578,40966,57091,47665
22,10027.0,854,2149,39.74,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",42754,49825,32847,35652,53419,46771
23,10028.0,429,1488,28.83,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",111302,209945,81145,79430,116563,83464
24,10029.0,1559,3562,43.77,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",32500,36914,21661,30248,45498,41819
25,10030.0,428,1027,41.67,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",33720,40888,26971,28266,41195,44046
26,10031.0,1082,2279,47.48,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",41848,43893,35862,26244,36731,41008
27,10032.0,1255,2700,46.48,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",40054,44598,30302,23353,33824,34668
28,10033.0,1130,2407,46.95,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",46349,50589,33203,26729,42180,40081
29,10034.0,600,1457,41.18,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",45643,43724,43315,26313,41693,40291
30,10035.0,805,1789,45.0,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",26893,32960,17943,30435,37253,50648
31,10036.0,363,1058,34.31,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",83812,133493,74720,65271,101758,70465
32,10037.0,371,902,41.13,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",39463,34459,41747,35119,49094,50163
33,10038.0,221,588,37.59,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",82910,81063,82942,61474,87932,68429
34,10039.0,439,1089,40.31,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",32257,36508,29904,27193,38277,40737
35,10040.0,865,1843,46.93,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853",45811,46149,40952,26019,39330,38646
36,10044.0,183,424,43.16,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",86483,115417,63488,62620,112727,67929
37,10069.0,46,169,27.22,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",155702,250000,100994,101995,156605,100160
38,10128.0,558,2040,27.35,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",103817,167868,75499,71399,103504,74778
39,10280.0,38,178,21.35,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",146875,203330,116114,100271,129583,98750
40,10282.0,64,177,36.16,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",250000,250000,140862,157326,231915,161164
41,10301.0,1020,2501,40.78,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",55700,67675,37894,39030,53672,52270
42,10302.0,567,1279,44.33,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",55864,66599,28570,34391,51633,42923
43,10303.0,762,1807,42.17,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",55198,62967,25295,38454,51748,46476
44,10304.0,1248,2973,41.98,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",53843,67488,27341,36176,50113,47389
45,10305.0,1104,2906,37.99,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",74063,85369,34356,41943,61651,48969
46,10306.0,1316,3757,35.03,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",78745,97459,29988,47942,66940,52012
47,10307.0,354,1005,35.22,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",77278,92836,41890,47209,67425,50365
48,10308.0,587,1756,33.43,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",87493,98445,37391,45595,67945,53288
49,10309.0,783,2254,34.74,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",93248,102400,57715,51872,76314,57890
50,10310.0,663,1721,38.52,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",69201,77185,27474,41246,68489,51737
51,10312.0,1389,3818,36.38,10312,Staten Island,NY,40.543116999999995,-74.17628,"40.543117,-74.17628",88567,100301,39632,50389,71127,53083
52,10314.0,2436,6329,38.49,10314,Staten Island,NY,40.606336999999996,-74.14513000000001,"40.606337,-74.14513",77761,93955,34263,43899,67288,50924
53,10451.0,1429,3063,46.65,10451,Bronx,NY,40.819728999999995,-73.9223,"40.819729,-73.9223",26419,31069,17371,24263,34798,36935
54,10452.0,2016,4323,46.63,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",25771,28738,16944,21467,30767,30083
55,10453.0,2012,4329,46.48,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214",22914,26297,13847,20144,28797,26871
56,10454.0,982,2197,44.7,10454,Bronx,NY,40.805968,-73.91628,"40.805968,-73.91628",21553,23774,13912,20260,28739,30326
57,10455.0,1098,2340,46.92,10455,Bronx,NY,40.815559,-73.90771,"40.815559,-73.90771",23962,29272,11941,21189,28802,29951
58,10456.0,2162,4842,44.65,10456,Bronx,NY,40.829676,-73.90856,"40.829676,-73.90856",25868,28945,14732,21207,30155,32973
59,10457.0,1805,4017,44.93,10457,Bronx,NY,40.846745,-73.89860999999999,"40.846745,-73.89861",25967,29962,15405,20993,30358,29541
60,10458.0,1759,3943,44.61,10458,Bronx,NY,40.864166,-73.88880999999999,"40.864166,-73.88881",30339,32345,21281,20939,34720,33434
61,10459.0,1315,2719,48.36,10459,Bronx,NY,40.825432,-73.89327,"40.825432,-73.89327",24805,30005,11953,22062,30365,29205
62,10460.0,1425,3100,45.97,10460,Bronx,NY,40.84095,-73.88036,"40.84095,-73.88036",24086,26063,14008,19369,30236,26790
63,10461.0,1708,4019,42.5,10461,Bronx,NY,40.842917,-73.83819,"40.842917,-73.83819",55332,67291,34284,37052,48904,45490
64,10462.0,2010,4681,42.94,10462,Bronx,NY,40.842172999999995,-73.85862,"40.842173,-73.85862",48315,53243,36466,32730,42052,42648
65,10463.0,1645,4050,40.62,10463,Bronx,NY,40.881085999999996,-73.90749,"40.881086,-73.90749",56568,63666,41667,35875,50243,51153
66,10464.0,114,363,31.4,10464,Bronx,NY,40.857017,-73.78903000000001,"40.857017,-73.78903",76917,111607,41833,60679,65086,73224
