,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Below Poverty Level - All people,Below Poverty Level - Under 18 years,Below Poverty Level - Related children of the householder under 18 years,Below Poverty Level - Related children of the householder under 5 years,Below Poverty Level - Related children of the householder 5 to 17 years,Below Poverty Level - 18 years and over,Below Poverty Level - 18 to 64 years,Below Poverty Level - 65 years and over
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",17.5,39.7,39.7,0.0,49.3,14.8,15.2,12.7
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",27.8,36.9,36.8,34.5,37.6,26.3,24.6,33.0
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",9.9,4.7,4.7,2.3,7.2,10.3,9.7,13.8
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",12.1,0.0,0.0,0.0,0.0,13.3,13.6,0.0
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",6.7,0.0,0.0,0.0,0.0,7.8,7.8,-
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",3.4,1.0,1.0,0.0,1.4,4.0,3.7,8.3
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",22.6,34.9,34.7,26.0,37.5,21.1,20.0,27.5
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",11.9,7.1,7.1,4.4,9.6,12.3,12.4,12.2
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",9.7,10.9,10.9,11.7,10.4,9.6,9.5,10.1
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",10.4,4.5,4.2,0.0,6.5,11.0,11.0,11.1
10,10013.0,220,708,31.07,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",10.6,10.5,8.5,3.2,11.9,10.7,8.6,20.4
11,10014.0,269,783,34.36,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",6.0,2.6,2.6,1.9,3.0,6.3,6.1,8.0
12,10016.0,610,2006,30.41,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",10.4,5.4,5.0,6.8,3.4,10.9,10.1,14.9
13,10017.0,125,498,25.1,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",6.0,5.3,5.4,0.0,12.9,6.1,6.2,5.7
14,10018.0,193,565,34.16,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",15.4,13.7,13.7,11.3,16.9,15.6,15.6,15.6
15,10019.0,527,1562,33.74,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",11.8,9.9,9.9,3.2,14.7,12.0,11.0,17.0
16,10021.0,495,1708,28.98,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",6.8,5.5,5.5,6.3,4.8,7.1,6.9,7.6
17,10022.0,299,1082,27.63,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",4.9,0.9,0.9,0.0,1.8,5.3,5.7,4.3
18,10023.0,496,1708,29.04,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",7.5,4.9,4.9,1.7,8.0,7.9,7.7,8.7
19,10024.0,576,1874,30.74,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",7.7,4.5,4.5,1.0,6.2,8.3,7.9,9.8
20,10025.0,1101,3191,34.5,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",16.1,13.1,13.1,13.7,12.8,16.6,17.3,13.9
21,10026.0,564,1482,38.06,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",28.8,39.3,39.1,44.2,35.9,26.1,25.1,33.7
22,10027.0,854,2149,39.74,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",30.2,38.3,38.1,40.1,37.3,28.1,28.9,23.0
23,10028.0,429,1488,28.83,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",5.9,4.4,4.5,4.2,4.5,6.1,6.1,6.2
24,10029.0,1559,3562,43.77,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",31.4,42.5,42.5,36.3,44.4,28.4,27.5,33.2
