,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_RACE,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",21102,65.03,8.99,0.36,16.77,0.02,5.04,3.8
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",81410,31.33,8.4,0.46,46.57,0.04,9.82,3.38
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",56024,76.39,3.53,0.18,14.44,0.04,2.24,3.18
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",7135,70.09,3.39,0.14,20.74,0.03,2.24,3.36
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",3011,69.35,4.55,0.13,19.63,0.0,3.22,3.12
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",6988,75.57,6.74,0.07,12.56,0.09,1.29,3.68
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",61347,62.07,9.84,0.5,13.66,0.05,9.69,4.2
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",31834,73.8,5.9,0.22,14.41,0.05,2.45,3.19
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",50984,80.26,4.61,0.22,8.86,0.05,2.93,3.07
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",24090,75.56,2.47,0.12,16.54,0.03,2.22,3.05
