,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_RACE,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
0,10001.0,231,480,48.12,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",21102,13722,1897,75,3539,5,1063,801
1,10002.0,578,1094,52.83,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",81410,25506,6836,374,37914,32,7997,2751
2,10003.0,290,692,41.91,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",56024,42794,1977,101,8088,24,1256,1784
3,10005.0,40,122,32.79,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",7135,5001,242,10,1480,2,160,240
4,10006.0,11,46,23.91,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",3011,2088,137,4,591,0,97,94
5,10007.0,35,112,31.25,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",6988,5281,471,5,878,6,90,257
6,10009.0,407,918,44.34,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",61347,38077,6036,304,8377,33,5946,2574
7,10010.0,175,486,36.01,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",31834,23493,1877,69,4586,15,779,1015
8,10011.0,365,755,48.34,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",50984,40922,2348,110,4517,24,1496,1567
9,10012.0,101,293,34.47,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",24090,18203,596,30,3985,7,534,735
10,10013.0,166,374,44.39,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",1361,8710000US3610013,"ZCTA5 10013, New York",27700,15407,1040,30,10006,4,489,724
11,10014.0,216,472,45.76,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",734,8710000US3610014,"ZCTA5 10014, New York",31959,28094,660,54,1874,10,393,874
12,10016.0,454,1044,43.49,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",1061,8710000US3610016,"ZCTA5 10016, New York",54183,40517,2176,91,8998,26,1083,1292
13,10017.0,95,273,34.8,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",1518,8710000US3610017,"ZCTA5 10017, New York",16575,12503,544,15,2930,9,193,381
14,10018.0,159,339,46.9,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",832,8710000US3610018,"ZCTA5 10018, New York",5229,2979,397,17,1343,1,325,167
15,10019.0,350,787,44.47,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",519,8710000US3610019,"ZCTA5 10019, New York",42870,29712,2364,127,7166,25,1992,1484
16,10021.0,400,1011,39.56,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",344,8710000US3610021,"ZCTA5 10021, New York",43631,38391,791,54,3182,13,413,787
17,10022.0,231,584,39.55,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",1709,8710000US3610022,"ZCTA5 10022, New York",31924,27590,592,31,2872,17,303,519
18,10023.0,368,900,40.89,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",809,8710000US3610023,"ZCTA5 10023, New York",60998,49739,2854,124,5471,17,1350,1443
19,10024.0,400,1035,38.65,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",716,8710000US3610024,"ZCTA5 10024, New York",59283,49185,3381,128,3258,24,1700,1607
20,10025.0,685,1544,44.37,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",157,8710000US3610025,"ZCTA5 10025, New York",94600,61358,13545,421,7803,54,7265,4154
21,10026.0,334,650,51.38,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",1657,8710000US3610026,"ZCTA5 10026, New York",34003,7473,19960,266,1459,38,3101,1706
22,10027.0,496,949,52.27,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",291,8710000US3610027,"ZCTA5 10027, New York",59707,18562,26420,459,4518,28,6813,2907
23,10028.0,330,844,39.1,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",1403,8710000US3610028,"ZCTA5 10028, New York",45141,39596,767,35,3331,17,478,917
24,10029.0,889,1654,53.75,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",468,8710000US3610029,"ZCTA5 10029, New York",76003,24775,23910,830,5241,78,17369,3800
25,10030.0,289,467,61.88,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",353,8710000US3610030,"ZCTA5 10030, New York",26999,2958,19399,244,423,24,2887,1064
26,10031.0,660,1017,64.9,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",626,8710000US3610031,"ZCTA5 10031, New York",56438,14020,18908,752,1384,38,17517,3819
27,10032.0,775,1262,61.41,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",1,8710000US3610032,"ZCTA5 10032, New York",57331,16205,12662,901,1987,40,21256,4280
28,10033.0,671,1080,62.13,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",869,8710000US3610033,"ZCTA5 10033, New York",53926,22900,5246,728,1253,35,19863,3901
29,10034.0,367,646,56.81,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",1304,8710000US3610034,"ZCTA5 10034, New York",38908,14560,5000,601,886,29,14961,2871
30,10035.0,475,852,55.75,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",1072,8710000US3610035,"ZCTA5 10035, New York",33969,8517,14795,439,1062,36,7333,1787
