,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_SEX BY AGE,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",21102,48.26,1.59,1.14,1.14,0.73,1.0,0.57,0.64,2.93,6.2,5.45,4.43,4.28,4.09,3.43,3.17,1.04,1.36,0.73,0.87,1.25,0.94,0.72,0.54,51.74,1.36,1.03,1.18,0.62,4.16,1.4,1.54,5.39,6.79,4.48,3.32,2.65,2.54,2.76,2.55,1.04,1.53,0.96,1.2,1.47,1.27,1.0,1.49
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",81410,47.38,2.34,2.24,2.31,1.5,1.12,0.61,0.69,2.38,4.48,4.02,3.53,3.26,3.3,3.27,3.02,1.14,1.35,0.73,0.98,1.75,1.45,1.01,0.89,52.62,2.1,2.26,2.18,1.36,1.05,0.67,0.71,2.73,4.68,3.96,3.48,3.33,3.44,3.57,3.53,1.51,1.84,0.98,1.3,2.21,2.01,1.75,1.96
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",56024,47.75,1.23,0.84,0.61,0.42,3.86,1.63,1.19,3.18,6.8,5.68,4.14,3.33,3.02,2.63,2.56,0.96,1.31,0.71,0.85,1.06,0.74,0.55,0.47,52.25,1.28,0.77,0.71,0.47,5.92,2.21,1.75,4.27,7.9,5.48,3.56,2.52,2.19,2.43,2.58,1.06,1.5,0.76,0.96,1.31,0.97,0.75,0.9
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",7135,48.26,1.61,0.6,0.36,0.2,0.18,0.22,0.76,6.32,13.64,9.99,5.55,3.29,2.34,1.37,0.9,0.31,0.21,0.11,0.13,0.1,0.01,0.01,0.03,51.74,1.91,0.57,0.34,0.17,0.56,0.85,1.32,10.06,15.66,8.69,4.54,2.51,1.67,0.81,1.08,0.2,0.35,0.17,0.13,0.04,0.03,0.06,0.04
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",3011,50.45,1.3,0.46,0.73,0.17,0.37,0.56,0.76,6.58,13.55,10.13,6.44,3.09,2.29,1.33,1.36,0.53,0.27,0.07,0.2,0.17,0.03,0.07,0.0,49.55,1.46,0.43,0.56,0.27,0.2,1.3,2.19,8.27,14.55,8.17,5.41,2.39,1.26,1.49,0.66,0.37,0.3,0.03,0.1,0.1,0.0,0.03,0.0
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",6988,56.64,4.56,2.38,1.17,0.41,0.34,0.4,0.54,2.42,6.18,9.27,9.49,7.01,4.36,2.86,2.2,0.59,0.76,0.34,0.44,0.4,0.26,0.14,0.09,43.36,4.69,2.3,1.02,0.56,0.4,0.41,0.46,1.99,5.25,7.7,6.34,3.98,2.56,1.83,1.62,0.66,0.59,0.24,0.3,0.17,0.13,0.06,0.1
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",61347,46.35,1.73,1.59,1.74,1.1,0.9,0.68,0.82,3.68,6.8,4.69,3.4,3.28,3.25,3.06,2.75,0.97,1.18,0.62,0.92,1.23,0.84,0.57,0.55,53.65,1.68,1.52,1.64,1.13,0.9,0.89,1.18,4.95,7.82,4.67,3.39,3.11,3.37,3.33,3.31,1.24,1.6,0.97,1.29,1.77,1.29,1.15,1.48
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",31834,46.35,1.68,0.95,0.84,0.48,1.59,1.22,0.9,2.99,7.23,5.65,3.88,3.29,2.92,2.81,2.47,1.05,1.35,0.77,0.94,1.14,0.91,0.61,0.67,53.65,1.59,1.07,0.75,0.5,2.36,1.87,1.4,5.25,9.24,5.67,3.79,2.7,2.33,2.31,2.4,1.08,1.74,0.97,1.28,1.6,1.17,0.98,1.59
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",50984,50.99,1.8,1.17,0.89,0.56,0.94,0.38,0.33,1.7,5.25,6.26,5.3,5.41,4.98,4.22,3.28,1.18,1.74,0.93,1.17,1.37,0.97,0.68,0.46,49.01,1.74,1.14,0.83,0.59,1.6,0.63,0.53,2.75,7.04,6.1,4.14,3.41,3.11,2.87,2.88,1.12,1.75,0.95,1.28,1.46,1.13,0.97,1.0
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",24090,49.15,1.74,1.1,0.99,0.66,0.49,0.53,0.5,3.16,8.37,6.48,4.81,3.58,3.14,2.55,2.86,1.1,1.46,0.81,1.17,1.47,1.11,0.6,0.45,50.85,1.62,1.16,0.92,0.54,0.64,0.89,0.96,5.38,9.42,5.34,3.9,2.89,2.54,2.76,2.77,1.12,1.68,0.83,1.11,1.42,1.13,0.81,1.02
