,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_SEX BY AGE,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
0,10001.0,231,480,48.12,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",21102,10184,336,240,240,155,212,121,136,618,1309,1150,935,904,864,723,669,220,286,155,183,263,199,151,115,10918,288,218,248,131,878,296,324,1137,1432,945,701,560,537,582,539,219,322,202,254,310,269,212,314
1,10002.0,578,1094,52.83,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",81410,38570,1907,1822,1883,1224,910,498,562,1938,3649,3274,2876,2654,2685,2662,2455,932,1099,594,797,1422,1180,825,722,42840,1713,1841,1777,1111,853,549,576,2226,3809,3224,2835,2713,2798,2903,2872,1231,1500,794,1058,1801,1635,1425,1596
2,10003.0,290,692,41.91,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",56024,26750,689,468,342,235,2164,912,665,1781,3810,3180,2317,1865,1691,1471,1435,539,734,396,478,595,416,306,261,29274,716,434,395,264,3319,1239,979,2393,4425,3071,1992,1412,1228,1363,1443,596,838,428,539,733,546,419,502
3,10005.0,40,122,32.79,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",7135,3443,115,43,26,14,13,16,54,451,973,713,396,235,167,98,64,22,15,8,9,7,1,1,2,3692,136,41,24,12,40,61,94,718,1117,620,324,179,119,58,77,14,25,12,9,3,2,4,3
4,10006.0,11,46,23.91,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",3011,1519,39,14,22,5,11,17,23,198,408,305,194,93,69,40,41,16,8,2,6,5,1,2,0,1492,44,13,17,8,6,39,66,249,438,246,163,72,38,45,20,11,9,1,3,3,0,1,0
5,10007.0,35,112,31.25,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",6988,3958,319,166,82,29,24,28,38,169,432,648,663,490,305,200,154,41,53,24,31,28,18,10,6,3030,328,161,71,39,28,29,32,139,367,538,443,278,179,128,113,46,41,17,21,12,9,4,7
6,10009.0,407,918,44.34,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",61347,28433,1062,974,1067,673,554,416,500,2258,4172,2879,2084,2011,1995,1879,1689,593,722,379,567,753,514,352,340,32914,1033,931,1009,691,550,548,722,3038,4797,2862,2078,1908,2065,2045,2028,763,982,592,790,1083,789,705,905
7,10010.0,175,486,36.01,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",31834,14755,534,304,267,154,505,388,288,953,2301,1800,1235,1046,930,894,786,334,431,245,300,362,290,195,213,17079,507,341,240,159,750,595,447,1670,2941,1805,1205,861,742,735,765,344,553,310,406,510,374,312,507
8,10011.0,365,755,48.34,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",50984,25998,919,594,455,284,477,195,168,869,2679,3190,2703,2757,2540,2152,1674,603,886,476,597,700,497,348,235,24986,885,579,423,303,818,322,269,1404,3588,3108,2111,1741,1585,1461,1466,569,890,483,653,744,578,496,510
9,10012.0,101,293,34.47,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",24090,11840,420,265,238,159,119,128,120,762,2016,1562,1159,863,757,615,689,266,351,194,282,353,268,145,109,12250,391,280,221,131,155,215,232,1296,2270,1286,939,695,611,664,667,269,405,200,267,343,273,194,246
10,10013.0,166,374,44.39,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",1361,8710000US3610013,"ZCTA5 10013, New York",27700,13951,772,616,450,239,217,274,268,641,1426,1368,1315,1204,1067,939,876,387,379,216,274,373,264,228,158,13749,781,566,436,251,222,338,304,758,1424,1247,1127,997,848,838,896,395,445,194,267,369,349,360,337
11,10014.0,216,472,45.76,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",734,8710000US3610014,"ZCTA5 10014, New York",31959,15631,533,371,275,145,102,106,124,595,2166,2115,1640,1393,1308,1092,994,338,512,314,371,436,338,213,150,16328,514,405,244,168,157,184,177,1115,2834,2269,1443,1085,965,900,937,371,539,289,420,434,328,305,245
12,10016.0,454,1044,43.49,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",1061,8710000US3610016,"ZCTA5 10016, New York",54183,24814,887,456,354,187,138,122,142,2566,4882,3289,2293,1675,1512,1333,1249,473,640,338,475,657,487,358,301,29369,859,484,349,198,373,494,541,3964,6046,3275,2114,1521,1344,1305,1440,615,890,456,628,840,646,491,496
