,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_TOTAL POPULATION
0,10001.0,314,912,34.43,10001,New York,NY,40.750741999999995,-73.99653,"40.750742,-73.99653",1455,8710000US3610001,"ZCTA5 10001, New York",21102
1,10002.0,890,2122,41.94,10002,New York,NY,40.717040000000004,-73.987,"40.71704,-73.987",912,8710000US3610002,"ZCTA5 10002, New York",81410
2,10003.0,402,1277,31.48,10003,New York,NY,40.732509,-73.98935,"40.732509,-73.98935",960,8710000US3610003,"ZCTA5 10003, New York",56024
3,10005.0,54,220,24.55,10005,New York,NY,40.706019,-74.00858000000001,"40.706019,-74.00858",1652,8710000US3610005,"ZCTA5 10005, New York",7135
4,10006.0,21,95,22.11,10006,New York,NY,40.707904,-74.01342,"40.707904,-74.01342",55,8710000US3610006,"ZCTA5 10006, New York",3011
5,10007.0,48,209,22.97,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721",86,8710000US3610007,"ZCTA5 10007, New York",6988
6,10009.0,613,1803,34.0,10009,New York,NY,40.727093,-73.97864,"40.727093,-73.97864",1196,8710000US3610009,"ZCTA5 10009, New York",61347
7,10010.0,237,953,24.87,10010,New York,NY,40.739022,-73.98205,"40.739022,-73.98205",597,8710000US3610010,"ZCTA5 10010, New York",31834
8,10011.0,469,1348,34.79,10011,New York,NY,40.741012,-74.00012,"40.741012,-74.00012",1587,8710000US3610011,"ZCTA5 10011, New York",50984
9,10012.0,147,506,29.05,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834",1230,8710000US3610012,"ZCTA5 10012, New York",24090
10,10013.0,220,708,31.07,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",1361,8710000US3610013,"ZCTA5 10013, New York",27700
11,10014.0,269,783,34.36,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",734,8710000US3610014,"ZCTA5 10014, New York",31959
12,10016.0,610,2006,30.41,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",1061,8710000US3610016,"ZCTA5 10016, New York",54183
13,10017.0,125,498,25.1,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",1518,8710000US3610017,"ZCTA5 10017, New York",16575
14,10018.0,193,565,34.16,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",832,8710000US3610018,"ZCTA5 10018, New York",5229
15,10019.0,527,1562,33.74,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",519,8710000US3610019,"ZCTA5 10019, New York",42870
16,10021.0,495,1708,28.98,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",344,8710000US3610021,"ZCTA5 10021, New York",43631
17,10022.0,299,1082,27.63,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",1709,8710000US3610022,"ZCTA5 10022, New York",31924
18,10023.0,496,1708,29.04,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",809,8710000US3610023,"ZCTA5 10023, New York",60998
19,10024.0,576,1874,30.74,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",716,8710000US3610024,"ZCTA5 10024, New York",59283
20,10025.0,1101,3191,34.5,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",157,8710000US3610025,"ZCTA5 10025, New York",94600
21,10026.0,564,1482,38.06,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",1657,8710000US3610026,"ZCTA5 10026, New York",34003
22,10027.0,854,2149,39.74,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",291,8710000US3610027,"ZCTA5 10027, New York",59707
23,10028.0,429,1488,28.83,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",1403,8710000US3610028,"ZCTA5 10028, New York",45141
24,10029.0,1559,3562,43.77,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",468,8710000US3610029,"ZCTA5 10029, New York",76003
25,10030.0,428,1027,41.67,10030,New York,NY,40.818151,-73.94351,"40.818151,-73.94351",353,8710000US3610030,"ZCTA5 10030, New York",26999
26,10031.0,1082,2279,47.48,10031,New York,NY,40.826201,-73.94879,"40.826201,-73.94879",626,8710000US3610031,"ZCTA5 10031, New York",56438
27,10032.0,1255,2700,46.48,10032,New York,NY,40.840686,-73.94154,"40.840686,-73.94154",1,8710000US3610032,"ZCTA5 10032, New York",57331
28,10033.0,1130,2407,46.95,10033,New York,NY,40.848764,-73.93496,"40.848764,-73.93496",869,8710000US3610033,"ZCTA5 10033, New York",53926
29,10034.0,600,1457,41.18,10034,New York,NY,40.867653000000004,-73.92,"40.867653,-73.92",1304,8710000US3610034,"ZCTA5 10034, New York",38908
30,10035.0,805,1789,45.0,10035,New York,NY,40.802395000000004,-73.93359,"40.802395,-73.93359",1072,8710000US3610035,"ZCTA5 10035, New York",33969
31,10036.0,363,1058,34.31,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",1529,8710000US3610036,"ZCTA5 10036, New York",24711
32,10037.0,371,902,41.13,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",1043,8710000US3610037,"ZCTA5 10037, New York",17416
33,10038.0,221,588,37.59,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",555,8710000US3610038,"ZCTA5 10038, New York",20300
34,10039.0,439,1089,40.31,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",643,8710000US3610039,"ZCTA5 10039, New York",24527
35,10040.0,865,1843,46.93,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853",1436,8710000US3610040,"ZCTA5 10040, New York",41905
36,10044.0,183,424,43.16,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",1792,8710000US3610044,"ZCTA5 10044, New York",11661
37,10069.0,46,169,27.22,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",782,8710000US3610069,"ZCTA5 10069, New York",5199
38,10128.0,558,2040,27.35,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",1350,8710000US3610128,"ZCTA5 10128, New York",60453
39,10280.0,38,178,21.35,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",1472,8710000US3610280,"ZCTA5 10280, New York",7853
40,10282.0,64,177,36.16,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",847,8710000US3610282,"ZCTA5 10282, New York",4783
41,10301.0,1020,2501,40.78,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",1273,8710000US3610301,"ZCTA5 10301, New York",39706
42,10302.0,567,1279,44.33,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",1412,8710000US3610302,"ZCTA5 10302, New York",19088
43,10303.0,762,1807,42.17,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",985,8710000US3610303,"ZCTA5 10303, New York",26337
44,10304.0,1248,2973,41.98,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",1466,8710000US3610304,"ZCTA5 10304, New York",42193
45,10305.0,1104,2906,37.99,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",1653,8710000US3610305,"ZCTA5 10305, New York",41749
46,10306.0,1316,3757,35.03,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",485,8710000US3610306,"ZCTA5 10306, New York",55909
47,10307.0,354,1005,35.22,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",1742,8710000US3610307,"ZCTA5 10307, New York",14096
48,10308.0,587,1756,33.43,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",71,8710000US3610308,"ZCTA5 10308, New York",27357
49,10309.0,783,2254,34.74,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",1128,8710000US3610309,"ZCTA5 10309, New York",32519
50,10310.0,663,1721,38.52,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",1787,8710000US3610310,"ZCTA5 10310, New York",24962
