"GEO_ID","NAME","H011C001","H011C002","H011C003","H011C004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3606390","ZCTA5 06390, New York","0","0","0","0"
"8710000US3610001","ZCTA5 10001, New York","63","10","0","53"
"8710000US3610002","ZCTA5 10002, New York","389","15","9","365"
"8710000US3610003","ZCTA5 10003, New York","67","12","0","55"
"8710000US3610004","ZCTA5 10004, New York","12","0","0","12"
"8710000US3610005","ZCTA5 10005, New York","11","5","0","6"
"8710000US3610006","ZCTA5 10006, New York","2","0","0","2"
"8710000US3610007","ZCTA5 10007, New York","3","1","0","2"
"8710000US3610009","ZCTA5 10009, New York","281","6","15","260"
"8710000US3610010","ZCTA5 10010, New York","49","1","3","45"
"8710000US3610011","ZCTA5 10011, New York","92","15","3","74"
"8710000US3610012","ZCTA5 10012, New York","23","2","1","20"
"8710000US3610013","ZCTA5 10013, New York","19","2","0","17"
"8710000US3610014","ZCTA5 10014, New York","47","7","2","38"
"8710000US3610016","ZCTA5 10016, New York","92","10","0","82"
"8710000US3610017","ZCTA5 10017, New York","13","1","1","11"
"8710000US3610018","ZCTA5 10018, New York","10","1","0","9"
"8710000US3610019","ZCTA5 10019, New York","115","0","2","113"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0"
"8710000US3610021","ZCTA5 10021, New York","37","11","2","24"
"8710000US3610022","ZCTA5 10022, New York","20","0","6","14"
"8710000US3610023","ZCTA5 10023, New York","126","10","4","112"
"8710000US3610024","ZCTA5 10024, New York","125","10","20","95"
"8710000US3610025","ZCTA5 10025, New York","356","9","8","339"
"8710000US3610026","ZCTA5 10026, New York","224","15","8","201"
"8710000US3610027","ZCTA5 10027, New York","388","10","6","372"
"8710000US3610028","ZCTA5 10028, New York","36","10","0","26"
"8710000US3610029","ZCTA5 10029, New York","842","12","27","803"
"8710000US3610030","ZCTA5 10030, New York","234","2","2","230"
"8710000US3610031","ZCTA5 10031, New York","715","28","10","677"
"8710000US3610032","ZCTA5 10032, New York","829","1","10","818"
"8710000US3610033","ZCTA5 10033, New York","657","13","9","635"
"8710000US3610034","ZCTA5 10034, New York","512","8","10","494"
"8710000US3610035","ZCTA5 10035, New York","409","5","7","397"
"8710000US3610036","ZCTA5 10036, New York","94","2","8","84"
"8710000US3610037","ZCTA5 10037, New York","126","7","2","117"
"8710000US3610038","ZCTA5 10038, New York","44","0","7","37"
"8710000US3610039","ZCTA5 10039, New York","164","7","4","153"
"8710000US3610040","ZCTA5 10040, New York","458","8","3","447"
"8710000US3610044","ZCTA5 10044, New York","22","0","0","22"
"8710000US3610065","ZCTA5 10065, New York","15","2","0","13"
"8710000US3610069","ZCTA5 10069, New York","2","0","0","2"
"8710000US3610075","ZCTA5 10075, New York","16","0","2","14"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","79","12","2","65"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0"
"8710000US3610154","ZCTA5 10154, New York","0","0","0","0"
"8710000US3610162","ZCTA5 10162, New York","0","0","0","0"
