"GEO_ID","NAME","H011F001","H011F002","H011F003","H011F004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3606390","ZCTA5 06390, New York","1","0","1","0"
"8710000US3610001","ZCTA5 10001, New York","980","50","43","887"
"8710000US3610002","ZCTA5 10002, New York","7930","177","348","7405"
"8710000US3610003","ZCTA5 10003, New York","865","58","21","786"
"8710000US3610004","ZCTA5 10004, New York","33","16","0","17"
"8710000US3610005","ZCTA5 10005, New York","152","20","6","126"
"8710000US3610006","ZCTA5 10006, New York","105","14","1","90"
"8710000US3610007","ZCTA5 10007, New York","54","8","1","45"
"8710000US3610009","ZCTA5 10009, New York","5855","114","177","5564"
"8710000US3610010","ZCTA5 10010, New York","544","25","8","511"
"8710000US3610011","ZCTA5 10011, New York","1362","65","90","1207"
"8710000US3610012","ZCTA5 10012, New York","461","11","4","446"
"8710000US3610013","ZCTA5 10013, New York","210","35","12","163"
"8710000US3610014","ZCTA5 10014, New York","322","24","5","293"
"8710000US3610016","ZCTA5 10016, New York","938","79","10","849"
"8710000US3610017","ZCTA5 10017, New York","166","43","7","116"
"8710000US3610018","ZCTA5 10018, New York","321","9","17","295"
"8710000US3610019","ZCTA5 10019, New York","1933","27","64","1842"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0"
"8710000US3610021","ZCTA5 10021, New York","329","44","6","279"
"8710000US3610022","ZCTA5 10022, New York","246","39","19","188"
"8710000US3610023","ZCTA5 10023, New York","1229","48","30","1151"
"8710000US3610024","ZCTA5 10024, New York","1502","56","98","1348"
"8710000US3610025","ZCTA5 10025, New York","6905","196","256","6453"
"8710000US3610026","ZCTA5 10026, New York","3069","143","60","2866"
"8710000US3610027","ZCTA5 10027, New York","6578","96","106","6376"
"8710000US3610028","ZCTA5 10028, New York","400","30","13","357"
"8710000US3610029","ZCTA5 10029, New York","17483","183","215","17085"
"8710000US3610030","ZCTA5 10030, New York","2788","75","19","2694"
"8710000US3610031","ZCTA5 10031, New York","17708","230","406","17072"
"8710000US3610032","ZCTA5 10032, New York","21424","205","353","20866"
"8710000US3610033","ZCTA5 10033, New York","19967","173","238","19556"
"8710000US3610034","ZCTA5 10034, New York","14910","113","155","14642"
"8710000US3610035","ZCTA5 10035, New York","7195","198","31","6966"
"8710000US3610036","ZCTA5 10036, New York","1409","38","57","1314"
"8710000US3610037","ZCTA5 10037, New York","1352","14","10","1328"
"8710000US3610038","ZCTA5 10038, New York","953","19","25","909"
"8710000US3610039","ZCTA5 10039, New York","3197","69","26","3102"
"8710000US3610040","ZCTA5 10040, New York","16219","116","255","15848"
"8710000US3610044","ZCTA5 10044, New York","368","9","2","357"
"8710000US3610065","ZCTA5 10065, New York","360","37","23","300"
"8710000US3610069","ZCTA5 10069, New York","52","8","0","44"
"8710000US3610075","ZCTA5 10075, New York","179","32","7","140"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0"
"8710000US3610119","ZCTA5 10119, New York","0","0","0","0"
"8710000US3610128","ZCTA5 10128, New York","1399","73","40","1286"
"8710000US3610152","ZCTA5 10152, New York","0","0","0","0"
"8710000US3610153","ZCTA5 10153, New York","0","0","0","0"
