"GEO_ID","NAME","H011G001","H011G002","H011G003","H011G004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3606390","ZCTA5 06390, New York","3","0","0","3"
"8710000US3610001","ZCTA5 10001, New York","597","82","45","470"
"8710000US3610002","ZCTA5 10002, New York","2541","164","154","2223"
"8710000US3610003","ZCTA5 10003, New York","1068","119","74","875"
"8710000US3610004","ZCTA5 10004, New York","48","6","5","37"
"8710000US3610005","ZCTA5 10005, New York","210","19","4","187"
"8710000US3610006","ZCTA5 10006, New York","67","14","0","53"
"8710000US3610007","ZCTA5 10007, New York","83","13","3","67"
"8710000US3610009","ZCTA5 10009, New York","2281","97","115","2069"
"8710000US3610010","ZCTA5 10010, New York","624","66","42","516"
"8710000US3610011","ZCTA5 10011, New York","1175","212","88","875"
"8710000US3610012","ZCTA5 10012, New York","563","66","32","465"
"8710000US3610013","ZCTA5 10013, New York","491","86","39","366"
"8710000US3610014","ZCTA5 10014, New York","590","102","37","451"
"8710000US3610016","ZCTA5 10016, New York","1064","153","62","849"
"8710000US3610017","ZCTA5 10017, New York","287","75","44","168"
"8710000US3610018","ZCTA5 10018, New York","140","14","7","119"
"8710000US3610019","ZCTA5 10019, New York","1275","79","52","1144"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0"
"8710000US3610021","ZCTA5 10021, New York","512","90","27","395"
"8710000US3610022","ZCTA5 10022, New York","409","115","41","253"
"8710000US3610023","ZCTA5 10023, New York","936","161","84","691"
"8710000US3610024","ZCTA5 10024, New York","1038","125","88","825"
"8710000US3610025","ZCTA5 10025, New York","3224","279","203","2742"
"8710000US3610026","ZCTA5 10026, New York","1479","222","110","1147"
"8710000US3610027","ZCTA5 10027, New York","2316","145","94","2077"
"8710000US3610028","ZCTA5 10028, New York","638","81","52","505"
"8710000US3610029","ZCTA5 10029, New York","3604","105","78","3421"
"8710000US3610030","ZCTA5 10030, New York","1030","72","11","947"
"8710000US3610031","ZCTA5 10031, New York","4067","150","111","3806"
"8710000US3610032","ZCTA5 10032, New York","4604","96","153","4355"
"8710000US3610033","ZCTA5 10033, New York","4194","83","48","4063"
"8710000US3610034","ZCTA5 10034, New York","3093","84","50","2959"
"8710000US3610035","ZCTA5 10035, New York","1665","100","17","1548"
"8710000US3610036","ZCTA5 10036, New York","767","49","29","689"
"8710000US3610037","ZCTA5 10037, New York","663","20","23","620"
"8710000US3610038","ZCTA5 10038, New York","472","37","47","388"
"8710000US3610039","ZCTA5 10039, New York","946","56","12","878"
"8710000US3610040","ZCTA5 10040, New York","3283","61","107","3115"
"8710000US3610044","ZCTA5 10044, New York","382","19","7","356"
"8710000US3610065","ZCTA5 10065, New York","410","61","29","320"
"8710000US3610069","ZCTA5 10069, New York","93","2","3","88"
"8710000US3610075","ZCTA5 10075, New York","344","81","32","231"
"8710000US3610103","ZCTA5 10103, New York","0","0","0","0"
"8710000US3610110","ZCTA5 10110, New York","0","0","0","0"
"8710000US3610111","ZCTA5 10111, New York","0","0","0","0"
"8710000US3610112","ZCTA5 10112, New York","0","0","0","0"
"8710000US3610115","ZCTA5 10115, New York","0","0","0","0"
