"GEO_ID","NAME","H011I001","H011I002","H011I003","H011I004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3606390","ZCTA5 06390, New York","226","72","41","113"
"8710000US3610001","ZCTA5 10001, New York","10806","2033","1872","6901"
"8710000US3610002","ZCTA5 10002, New York","16193","3126","2916","10151"
"8710000US3610003","ZCTA5 10003, New York","36009","7772","4496","23741"
"8710000US3610004","ZCTA5 10004, New York","2140","493","110","1537"
"8710000US3610005","ZCTA5 10005, New York","4730","720","99","3911"
"8710000US3610006","ZCTA5 10006, New York","1977","260","21","1696"
"8710000US3610007","ZCTA5 10007, New York","4639","1430","268","2941"
"8710000US3610009","ZCTA5 10009, New York","31065","1753","1275","28037"
"8710000US3610010","ZCTA5 10010, New York","20235","3737","1977","14521"
"8710000US3610011","ZCTA5 10011, New York","37045","10125","5169","21751"
"8710000US3610012","ZCTA5 10012, New York","16635","2740","1497","12398"
"8710000US3610013","ZCTA5 10013, New York","14176","4623","1440","8113"
"8710000US3610014","ZCTA5 10014, New York","26887","5948","2778","18161"
"8710000US3610016","ZCTA5 10016, New York","37050","6704","3131","27215"
"8710000US3610017","ZCTA5 10017, New York","11812","2904","1514","7394"
"8710000US3610018","ZCTA5 10018, New York","2538","399","167","1972"
"8710000US3610019","ZCTA5 10019, New York","26301","3513","2189","20599"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0"
"8710000US3610021","ZCTA5 10021, New York","36405","9648","7726","19031"
"8710000US3610022","ZCTA5 10022, New York","26051","7341","6166","12544"
"8710000US3610023","ZCTA5 10023, New York","46408","12815","7967","25626"
"8710000US3610024","ZCTA5 10024, New York","46381","13503","6250","26628"
"8710000US3610025","ZCTA5 10025, New York","50897","13545","5308","32044"
"8710000US3610026","ZCTA5 10026, New York","5471","1437","252","3782"
"8710000US3610027","ZCTA5 10027, New York","10713","1874","778","8061"
"8710000US3610028","ZCTA5 10028, New York","38384","9349","6513","22522"
"8710000US3610029","ZCTA5 10029, New York","9037","1447","522","7068"
"8710000US3610030","ZCTA5 10030, New York","1594","330","44","1220"
"8710000US3610031","ZCTA5 10031, New York","5874","785","168","4921"
