"GEO_ID","id",
"NAME","Geographic Area Name",
"H016D001","Total",
"H016D002","Total!!Owner occupied",
"H016D003","Total!!Owner occupied!!1-person household",
"H016D004","Total!!Owner occupied!!2-person household",
"H016D005","Total!!Owner occupied!!3-person household",
"H016D006","Total!!Owner occupied!!4-person household",
"H016D007","Total!!Owner occupied!!5-person household",
"H016D008","Total!!Owner occupied!!6-person household",
"H016D009","Total!!Owner occupied!!7-or-more-person household",
"H016D010","Total!!Renter occupied",
"H016D011","Total!!Renter occupied!!1-person household",
"H016D012","Total!!Renter occupied!!2-person household",
"H016D013","Total!!Renter occupied!!3-person household",
"H016D014","Total!!Renter occupied!!4-person household",
"H016D015","Total!!Renter occupied!!5-person household",
"H016D016","Total!!Renter occupied!!6-person household",
"H016D017","Total!!Renter occupied!!7-or-more-person household",
