"GEO_ID","NAME","H016F001","H016F002","H016F003","H016F004","H016F005","H016F006","H016F007","H016F008","H016F009","H016F010","H016F011","H016F012","H016F013","H016F014","H016F015","H016F016","H016F017"
"id","Geographic Area Name","Total","Total!!Owner occupied","Total!!Owner occupied!!1-person household","Total!!Owner occupied!!2-person household","Total!!Owner occupied!!3-person household","Total!!Owner occupied!!4-person household","Total!!Owner occupied!!5-person household","Total!!Owner occupied!!6-person household","Total!!Owner occupied!!7-or-more-person household","Total!!Renter occupied","Total!!Renter occupied!!1-person household","Total!!Renter occupied!!2-person household","Total!!Renter occupied!!3-person household","Total!!Renter occupied!!4-person household","Total!!Renter occupied!!5-person household","Total!!Renter occupied!!6-person household","Total!!Renter occupied!!7-or-more-person household"
"8710000US3606390","ZCTA5 06390, New York","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8710000US3610001","ZCTA5 10001, New York","424","48","20","16","8","3","1","0","0","376","155","97","44","38","18","13","11"
"8710000US3610002","ZCTA5 10002, New York","2909","204","58","57","43","20","19","4","3","2705","743","706","509","341","231","96","79"
"8710000US3610003","ZCTA5 10003, New York","437","43","18","17","5","3","0","0","0","394","197","100","44","30","15","3","5"
"8710000US3610004","ZCTA5 10004, New York","14","6","1","2","1","2","0","0","0","8","3","2","2","1","0","0","0"
"8710000US3610005","ZCTA5 10005, New York","91","14","7","4","2","0","1","0","0","77","42","24","9","1","1","0","0"
"8710000US3610006","ZCTA5 10006, New York","60","8","4","3","0","0","1","0","0","52","20","29","0","3","0","0","0"
"8710000US3610007","ZCTA5 10007, New York","23","3","1","0","0","2","0","0","0","20","6","8","2","3","1","0","0"
"8710000US3610009","ZCTA5 10009, New York","2206","114","37","24","19","25","5","4","0","2092","604","565","362","283","159","67","52"
"8710000US3610010","ZCTA5 10010, New York","276","20","10","8","1","1","0","0","0","256","123","64","38","18","8","4","1"
"8710000US3610011","ZCTA5 10011, New York","659","77","38","18","12","4","3","1","1","582","307","114","65","45","29","12","10"
"8710000US3610012","ZCTA5 10012, New York","224","10","6","3","1","0","0","0","0","214","92","59","33","18","9","2","1"
"8710000US3610013","ZCTA5 10013, New York","94","17","3","5","3","5","1","0","0","77","23","37","8","6","1","1","1"
"8710000US3610014","ZCTA5 10014, New York","188","17","9","5","2","1","0","0","0","171","100","41","13","14","2","1","0"
"8710000US3610016","ZCTA5 10016, New York","483","58","36","15","5","2","0","0","0","425","188","129","58","32","12","3","3"
"8710000US3610017","ZCTA5 10017, New York","96","27","16","5","4","0","1","0","1","69","43","13","7","4","2","0","0"
"8710000US3610018","ZCTA5 10018, New York","143","13","5","5","1","2","0","0","0","130","57","27","25","8","6","5","2"
"8710000US3610019","ZCTA5 10019, New York","873","38","14","10","6","4","1","3","0","835","343","233","125","71","29","20","14"
"8710000US3610020","ZCTA5 10020, New York","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
