"GEO_ID","id",
"NAME","Geographic Area Name",
"H016F001","Total",
"H016F002","Total!!Owner occupied",
"H016F003","Total!!Owner occupied!!1-person household",
"H016F004","Total!!Owner occupied!!2-person household",
"H016F005","Total!!Owner occupied!!3-person household",
"H016F006","Total!!Owner occupied!!4-person household",
"H016F007","Total!!Owner occupied!!5-person household",
"H016F008","Total!!Owner occupied!!6-person household",
"H016F009","Total!!Owner occupied!!7-or-more-person household",
"H016F010","Total!!Renter occupied",
"H016F011","Total!!Renter occupied!!1-person household",
"H016F012","Total!!Renter occupied!!2-person household",
"H016F013","Total!!Renter occupied!!3-person household",
"H016F014","Total!!Renter occupied!!4-person household",
"H016F015","Total!!Renter occupied!!5-person household",
"H016F016","Total!!Renter occupied!!6-person household",
"H016F017","Total!!Renter occupied!!7-or-more-person household",
