"GEO_ID","NAME","H016G001","H016G002","H016G003","H016G004","H016G005","H016G006","H016G007","H016G008","H016G009","H016G010","H016G011","H016G012","H016G013","H016G014","H016G015","H016G016","H016G017"
"id","Geographic Area Name","Total","Total!!Owner occupied","Total!!Owner occupied!!1-person household","Total!!Owner occupied!!2-person household","Total!!Owner occupied!!3-person household","Total!!Owner occupied!!4-person household","Total!!Owner occupied!!5-person household","Total!!Owner occupied!!6-person household","Total!!Owner occupied!!7-or-more-person household","Total!!Renter occupied","Total!!Renter occupied!!1-person household","Total!!Renter occupied!!2-person household","Total!!Renter occupied!!3-person household","Total!!Renter occupied!!4-person household","Total!!Renter occupied!!5-person household","Total!!Renter occupied!!6-person household","Total!!Renter occupied!!7-or-more-person household"
"8710000US3606390","ZCTA5 06390, New York","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"8710000US3610001","ZCTA5 10001, New York","310","60","23","20","8","7","1","0","1","250","122","80","23","13","6","5","1"
"8710000US3610002","ZCTA5 10002, New York","1085","141","51","42","24","18","3","0","3","944","357","264","137","89","49","23","25"
"8710000US3610003","ZCTA5 10003, New York","635","112","56","40","9","5","2","0","0","523","290","154","50","21","6","1","1"
"8710000US3610004","ZCTA5 10004, New York","29","7","4","2","1","0","0","0","0","22","13","6","0","3","0","0","0"
"8710000US3610005","ZCTA5 10005, New York","117","13","6","4","3","0","0","0","0","104","48","41","8","5","1","0","1"
"8710000US3610006","ZCTA5 10006, New York","41","10","7","2","1","0","0","0","0","31","16","11","3","0","0","1","0"
"8710000US3610007","ZCTA5 10007, New York","41","8","3","3","1","1","0","0","0","33","13","11","4","5","0","0","0"
"8710000US3610009","ZCTA5 10009, New York","1033","96","32","33","16","11","2","2","0","937","342","300","149","84","38","18","6"
"8710000US3610010","ZCTA5 10010, New York","341","61","34","17","4","2","4","0","0","280","133","88","39","14","3","2","1"
"8710000US3610011","ZCTA5 10011, New York","685","158","76","47","16","16","1","1","1","527","319","132","42","19","8","4","3"
"8710000US3610012","ZCTA5 10012, New York","320","49","25","12","2","8","1","1","0","271","143","84","28","12","3","0","1"
"8710000US3610013","ZCTA5 10013, New York","244","50","16","11","7","15","0","1","0","194","89","66","23","9","4","2","1"
"8710000US3610014","ZCTA5 10014, New York","378","77","41","22","6","4","4","0","0","301","197","74","21","4","4","0","1"
"8710000US3610016","ZCTA5 10016, New York","634","111","45","40","15","10","1","0","0","523","285","175","44","15","3","0","1"
