"GEO_ID","id",
"NAME","Geographic Area Name",
"H016G001","Total",
"H016G002","Total!!Owner occupied",
"H016G003","Total!!Owner occupied!!1-person household",
"H016G004","Total!!Owner occupied!!2-person household",
"H016G005","Total!!Owner occupied!!3-person household",
"H016G006","Total!!Owner occupied!!4-person household",
"H016G007","Total!!Owner occupied!!5-person household",
"H016G008","Total!!Owner occupied!!6-person household",
"H016G009","Total!!Owner occupied!!7-or-more-person household",
"H016G010","Total!!Renter occupied",
"H016G011","Total!!Renter occupied!!1-person household",
"H016G012","Total!!Renter occupied!!2-person household",
"H016G013","Total!!Renter occupied!!3-person household",
"H016G014","Total!!Renter occupied!!4-person household",
"H016G015","Total!!Renter occupied!!5-person household",
"H016G016","Total!!Renter occupied!!6-person household",
"H016G017","Total!!Renter occupied!!7-or-more-person household",
