"GEO_ID","id",
"NAME","Geographic Area Name",
"H016H001","Total",
"H016H002","Total!!Owner occupied",
"H016H003","Total!!Owner occupied!!1-person household",
"H016H004","Total!!Owner occupied!!2-person household",
"H016H005","Total!!Owner occupied!!3-person household",
"H016H006","Total!!Owner occupied!!4-person household",
"H016H007","Total!!Owner occupied!!5-person household",
"H016H008","Total!!Owner occupied!!6-person household",
"H016H009","Total!!Owner occupied!!7-or-more-person household",
"H016H010","Total!!Renter occupied",
"H016H011","Total!!Renter occupied!!1-person household",
"H016H012","Total!!Renter occupied!!2-person household",
"H016H013","Total!!Renter occupied!!3-person household",
"H016H014","Total!!Renter occupied!!4-person household",
"H016H015","Total!!Renter occupied!!5-person household",
"H016H016","Total!!Renter occupied!!6-person household",
"H016H017","Total!!Renter occupied!!7-or-more-person household",
