"GEO_ID","id",
"NAME","Geographic Area Name",
"H016I001","Total",
"H016I002","Total!!Owner occupied",
"H016I003","Total!!Owner occupied!!1-person household",
"H016I004","Total!!Owner occupied!!2-person household",
"H016I005","Total!!Owner occupied!!3-person household",
"H016I006","Total!!Owner occupied!!4-person household",
"H016I007","Total!!Owner occupied!!5-person household",
"H016I008","Total!!Owner occupied!!6-person household",
"H016I009","Total!!Owner occupied!!7-or-more-person household",
"H016I010","Total!!Renter occupied",
"H016I011","Total!!Renter occupied!!1-person household",
"H016I012","Total!!Renter occupied!!2-person household",
"H016I013","Total!!Renter occupied!!3-person household",
"H016I014","Total!!Renter occupied!!4-person household",
"H016I015","Total!!Renter occupied!!5-person household",
"H016I016","Total!!Renter occupied!!6-person household",
"H016I017","Total!!Renter occupied!!7-or-more-person household",
