"GEO_ID","NAME","H006001","H006002","H006003","H006004","H006005","H006006","H006007","H006008"
"id","Geographic Area Name","Total","Total!!Householder who is White alone","Total!!Householder who is Black or African American alone","Total!!Householder who is American Indian and Alaska Native alone","Total!!Householder who is Asian alone","Total!!Householder who is Native Hawaiian and Other Pacific Islander alone","Total!!Householder who is Some Other Race alone","Total!!Householder who is Two or More Races"
"8710000US3610032","ZCTA5 10032, New York","20228","6131","5377","240","793","14","6177","1496"
"8710000US3614774","ZCTA5 14774, New York","46","46","0","0","0","0","0","0"
"8710000US3612740","ZCTA5 12740, New York","800","770","9","2","2","0","8","9"
"8710000US3612832","ZCTA5 12832, New York","2750","2697","11","12","5","0","3","22"
"8710000US3613602","ZCTA5 13602, New York","117","77","21","1","5","1","7","5"
"8710000US3614853","ZCTA5 14853, New York","0","0","0","0","0","0","0","0"
"8710000US3611106","ZCTA5 11106, New York","17101","10700","1396","72","2736","7","1556","634"
"8710000US3612924","ZCTA5 12924, New York","65","64","1","0","0","0","0","0"
"8710000US3611213","ZCTA5 11213, New York","23142","3391","18086","100","186","10","768","601"
"8710000US3613634","ZCTA5 13634, New York","1546","1513","8","7","4","1","2","11"
"8710000US3613656","ZCTA5 13656, New York","991","959","9","3","0","3","1","16"
"8710000US3613490","ZCTA5 13490, New York","519","511","4","0","2","0","0","2"
"8710000US3612472","ZCTA5 12472, New York","716","673","12","1","7","0","8","15"
"8710000US3612777","ZCTA5 12777, New York","336","315","7","2","1","1","6","4"
"8710000US3613460","ZCTA5 13460, New York","1784","1752","5","5","7","0","3","12"
"8710000US3613337","ZCTA5 13337, New York","335","329","1","1","1","0","0","3"
"8710000US3614860","ZCTA5 14860, New York","437","426","1","1","3","0","3","3"
"8710000US3613696","ZCTA5 13696, New York","43","41","0","0","1","0","0","1"
"8710000US3611765","ZCTA5 11765, New York","273","249","5","0","16","0","3","0"
"8710000US3612594","ZCTA5 12594, New York","1506","1311","91","2","19","0","59","24"
"8710000US3613211","ZCTA5 13211, New York","2677","2490","96","24","15","0","21","31"
"8710000US3614467","ZCTA5 14467, New York","3663","3226","237","9","128","0","22","41"
"8710000US3613206","ZCTA5 13206, New York","7835","6485","933","71","90","0","79","177"
"8710000US3614611","ZCTA5 14611, New York","6711","1670","4536","35","71","3","198","198"
"8710000US3613301","ZCTA5 13301, New York","54","53","0","0","1","0","0","0"
"8710000US3611365","ZCTA5 11365, New York","15463","7511","1602","32","5230","7","666","415"
"8710000US3611724","ZCTA5 11724, New York","1013","988","0","0","16","0","5","4"
"8710000US3611937","ZCTA5 11937, New York","5805","5177","156","24","70","2","324","52"
"8710000US3611375","ZCTA5 11375, New York","32547","22839","1051","51","7022","10","888","686"
"8710000US3613756","ZCTA5 13756, New York","249","245","2","0","1","0","0","1"
"8710000US3614810","ZCTA5 14810, New York","5153","4958","111","9","18","0","14","43"
"8710000US3611763","ZCTA5 11763, New York","9185","7685","787","31","204","1","341","136"
"8710000US3612210","ZCTA5 12210, New York","5180","2673","2056","13","146","3","125","164"
"8710000US3614885","ZCTA5 14885, New York","303","301","1","0","1","0","0","0"
"8710000US3612816","ZCTA5 12816, New York","1902","1865","12","3","5","0","2","15"
"8710000US3612917","ZCTA5 12917, New York","536","526","3","1","1","0","0","5"
"8710000US3614420","ZCTA5 14420, New York","7215","6830","171","25","64","3","57","65"
"8710000US3612760","ZCTA5 12760, New York","224","213","6","0","2","0","0","3"
"8710000US3611005","ZCTA5 11005, New York","1362","1334","12","0","11","0","1","4"
"8710000US3611217","ZCTA5 11217, New York","16269","10293","3435","65","1045","5","817","609"
"8710000US3614432","ZCTA5 14432, New York","2233","2175","17","3","5","1","16","16"
"8710000US3612477","ZCTA5 12477, New York","7905","7525","125","22","70","0","40","123"
"8710000US3612792","ZCTA5 12792, New York","139","133","0","0","1","0","3","2"
"8710000US3613621","ZCTA5 13621, New York","258","254","0","2","1","0","0","1"
"8710000US3612515","ZCTA5 12515, New York","571","521","24","2","8","0","7","9"
"8710000US3614507","ZCTA5 14507, New York","536","528","4","1","0","0","0","3"
"8710000US3610516","ZCTA5 10516, New York","2165","2069","13","5","25","1","29","23"
"8710000US3613812","ZCTA5 13812, New York","918","910","4","0","1","0","1","2"
"8710000US3611715","ZCTA5 11715, New York","1687","1640","9","4","10","0","15","9"
"8710000US3612015","ZCTA5 12015, New York","1291","1248","17","2","10","1","7","6"
"8710000US3612306","ZCTA5 12306, New York","10744","10134","256","23","97","7","117","110"
"8710000US3612409","ZCTA5 12409, New York","406","392","2","0","5","0","4","3"
"8710000US3614456","ZCTA5 14456, New York","7816","6793","544","22","85","1","242","129"
"8710000US3614817","ZCTA5 14817, New York","1005","962","8","2","6","1","5","21"
"8710000US3610006","ZCTA5 10006, New York","1791","1240","89","1","360","0","60","41"
"8710000US3610463","ZCTA5 10463, New York","28408","16159","4745","182","1112","12","5025","1173"
"8710000US3612157","ZCTA5 12157, New York","1708","1685","3","1","4","0","4","11"
"8710000US3613319","ZCTA5 13319, New York","424","414","5","1","3","0","1","0"
"8710000US3614427","ZCTA5 14427, New York","792","784","1","2","1","0","0","4"
"8710000US3612066","ZCTA5 12066, New York","862","845","5","1","0","0","2","9"
"8710000US3612873","ZCTA5 12873, New York","330","322","3","1","0","0","1","3"
"8710000US3613035","ZCTA5 13035, New York","3168","3124","9","8","11","0","4","12"
"8710000US3613364","ZCTA5 13364, New York","92","92","0","0","0","0","0","0"
"8710000US3613041","ZCTA5 13041, New York","3830","3513","163","27","79","2","16","30"
"8710000US3614873","ZCTA5 14873, New York","1012","985","7","4","2","0","4","10"
"8710000US3611931","ZCTA5 11931, New York","70","68","0","0","0","0","1","1"
"8710000US3612956","ZCTA5 12956, New York","482","477","1","0","0","0","0","4"
"8710000US3613339","ZCTA5 13339, New York","2603","2552","7","8","10","0","9","17"
"8710000US3614722","ZCTA5 14722, New York","92","91","0","0","1","0","0","0"
"8710000US3612861","ZCTA5 12861, New York","259","258","0","0","0","0","0","1"
"8710000US3610308","ZCTA5 10308, New York","10142","9620","44","14","242","4","132","86"
"8710000US3612912","ZCTA5 12912, New York","848","830","2","2","0","0","0","14"
"8710000US3613111","ZCTA5 13111, New York","629","616","0","5","1","0","1","6"
"8710000US3613476","ZCTA5 13476, New York","1236","1207","9","2","6","0","2","10"
"8710000US3612742","ZCTA5 12742, New York","79","70","5","0","0","0","4","0"
"8710000US3612962","ZCTA5 12962, New York","2172","2130","16","2","7","0","3","14"
"8710000US3613032","ZCTA5 13032, New York","5147","5023","29","38","11","0","9","37"
"8710000US3613757","ZCTA5 13757, New York","438","426","4","5","1","0","1","1"
"8710000US3612723","ZCTA5 12723, New York","674","647","15","1","2","0","5","4"
"8710000US3614757","ZCTA5 14757, New York","1376","1363","3","2","1","0","1","6"
"8710000US3610578","ZCTA5 10578, New York","238","224","2","0","6","1","3","2"
"8710000US3612160","ZCTA5 12160, New York","368","359","1","1","0","0","0","7"
"8710000US3610522","ZCTA5 10522, New York","3901","3283","193","1","282","2","87","53"
"8710000US3614891","ZCTA5 14891, New York","1821","1779","6","11","4","0","5","16"
"8710000US3610930","ZCTA5 10930, New York","2846","2429","162","5","122","2","89","37"
"8710000US3610007","ZCTA5 10007, New York","2840","2322","74","3","376","1","23","41"
"8710000US3612180","ZCTA5 12180, New York","21558","17499","2651","65","556","4","383","400"
"8710000US3612918","ZCTA5 12918, New York","937","927","1","4","0","0","0","5"
"8710000US3612992","ZCTA5 12992, New York","1866","1837","10","4","3","1","3","8"
"8710000US3613402","ZCTA5 13402, New York","618","610","2","1","1","1","0","3"
"8710000US3613431","ZCTA5 13431, New York","773","763","1","3","0","0","0","6"
"8710000US3614534","ZCTA5 14534, New York","11932","10926","216","12","675","1","20","82"
"8710000US3611581","ZCTA5 11581, New York","7023","5289","775","7","597","1","223","131"
"8710000US3611784","ZCTA5 11784, New York","8009","7166","233","12","287","4","185","122"
"8710000US3613078","ZCTA5 13078, New York","3572","3250","80","26","177","0","7","32"
