"GEO_ID","id",
"NAME","Geographic Area Name",
"H006001","Total",
"H006002","Total!!Householder who is White alone",
"H006003","Total!!Householder who is Black or African American alone",
"H006004","Total!!Householder who is American Indian and Alaska Native alone",
"H006005","Total!!Householder who is Asian alone",
"H006006","Total!!Householder who is Native Hawaiian and Other Pacific Islander alone",
"H006007","Total!!Householder who is Some Other Race alone",
"H006008","Total!!Householder who is Two or More Races",
