"GEO_ID","NAME","P003001","P003002","P003003","P003004","P003005","P003006","P003007","P003008"
"id","Geographic Area Name","Total","Total!!White alone","Total!!Black or African American alone","Total!!American Indian and Alaska Native alone","Total!!Asian alone","Total!!Native Hawaiian and Other Pacific Islander alone","Total!!Some Other Race alone","Total!!Two or More Races"
"8710000US3610032","ZCTA5 10032, New York","57331","16205","12662","901","1987","40","21256","4280"
"8710000US3614774","ZCTA5 14774, New York","151","151","0","0","0","0","0","0"
"8710000US3612740","ZCTA5 12740, New York","1886","1788","29","4","7","0","22","36"
"8710000US3612832","ZCTA5 12832, New York","7106","6954","34","18","27","0","18","55"
"8710000US3613602","ZCTA5 13602, New York","3881","2844","539","46","126","33","161","132"
"8710000US3614853","ZCTA5 14853, New York","2755","1604","243","8","702","0","62","136"
"8710000US3611106","ZCTA5 11106, New York","38875","21205","3469","222","7449","17","4895","1618"
"8710000US3612924","ZCTA5 12924, New York","158","157","1","0","0","0","0","0"
"8710000US3611213","ZCTA5 11213, New York","63767","12493","46454","250","554","22","2414","1580"
"8710000US3613634","ZCTA5 13634, New York","3984","3850","26","17","23","7","6","55"
"8710000US3613656","ZCTA5 13656, New York","2861","2738","27","14","13","7","4","58"
"8710000US3613490","ZCTA5 13490, New York","1361","1314","14","4","7","0","3","19"
"8710000US3612472","ZCTA5 12472, New York","1572","1443","45","3","19","0","31","31"
"8710000US3612777","ZCTA5 12777, New York","764","698","28","3","7","2","14","12"
"8710000US3613460","ZCTA5 13460, New York","4429","4320","17","8","15","0","21","48"
"8710000US3613337","ZCTA5 13337, New York","790","755","7","4","7","0","2","15"
"8710000US3614860","ZCTA5 14860, New York","1039","1009","6","4","6","0","5","9"
"8710000US3613696","ZCTA5 13696, New York","87","83","1","0","2","0","0","1"
"8710000US3611765","ZCTA5 11765, New York","737","637","12","0","59","0","16","13"
"8710000US3612594","ZCTA5 12594, New York","4275","3576","289","6","69","0","224","111"
"8710000US3613211","ZCTA5 13211, New York","6517","5845","300","59","52","0","93","168"
"8710000US3614467","ZCTA5 14467, New York","9105","7625","713","23","461","1","85","197"
"8710000US3613206","ZCTA5 13206, New York","16443","12747","2236","167","290","2","227","774"
"8710000US3614611","ZCTA5 14611, New York","17396","3558","12179","87","211","6","594","761"
"8710000US3613301","ZCTA5 13301, New York","98","96","0","0","1","0","0","1"
"8710000US3611365","ZCTA5 11365, New York","42252","17213","3734","121","17605","17","2093","1469"
"8710000US3611724","ZCTA5 11724, New York","3220","3072","15","0","71","0","29","33"
"8710000US3611937","ZCTA5 11937, New York","15398","12816","456","94","216","14","1566","236"
"8710000US3611375","ZCTA5 11375, New York","68733","44925","2004","112","17378","26","2206","2082"
"8710000US3613756","ZCTA5 13756, New York","613","602","4","0","3","0","0","4"
"8710000US3614810","ZCTA5 14810, New York","12356","11712","359","28","54","3","49","151"
"8710000US3611763","ZCTA5 11763, New York","28506","22593","2742","135","742","6","1558","730"
"8710000US3612210","ZCTA5 12210, New York","10158","4281","4900","20","252","8","306","391"
"8710000US3614885","ZCTA5 14885, New York","873","868","2","0","2","0","0","1"
"8710000US3612816","ZCTA5 12816, New York","4610","4475","41","5","24","0","4","61"
"8710000US3612917","ZCTA5 12917, New York","1403","1361","7","7","5","0","3","20"
