,GEO_ID,NAME,H001001
0,id,Geographic Area Name,Total
1,8710000US3610032,"ZCTA5 10032, New York",21417
2,8710000US3614774,"ZCTA5 14774, New York",52
3,8710000US3612740,"ZCTA5 12740, New York",1148
4,8710000US3612832,"ZCTA5 12832, New York",3164
5,8710000US3613602,"ZCTA5 13602, New York",120
6,8710000US3614853,"ZCTA5 14853, New York",0
7,8710000US3611106,"ZCTA5 11106, New York",18296
8,8710000US3612924,"ZCTA5 12924, New York",75
9,8710000US3611213,"ZCTA5 11213, New York",24974
10,8710000US3613634,"ZCTA5 13634, New York",2220
11,8710000US3613656,"ZCTA5 13656, New York",1076
12,8710000US3613490,"ZCTA5 13490, New York",549
13,8710000US3612472,"ZCTA5 12472, New York",827
14,8710000US3612777,"ZCTA5 12777, New York",536
15,8710000US3613460,"ZCTA5 13460, New York",2039
16,8710000US3613337,"ZCTA5 13337, New York",438
17,8710000US3614860,"ZCTA5 14860, New York",779
18,8710000US3613696,"ZCTA5 13696, New York",49
19,8710000US3611765,"ZCTA5 11765, New York",326
20,8710000US3612594,"ZCTA5 12594, New York",1692
21,8710000US3613211,"ZCTA5 13211, New York",2820
22,8710000US3614467,"ZCTA5 14467, New York",3855
23,8710000US3613206,"ZCTA5 13206, New York",8401
24,8710000US3614611,"ZCTA5 14611, New York",7849
25,8710000US3613301,"ZCTA5 13301, New York",147
26,8710000US3611365,"ZCTA5 11365, New York",16098
27,8710000US3611724,"ZCTA5 11724, New York",1059
28,8710000US3611937,"ZCTA5 11937, New York",12428
29,8710000US3611375,"ZCTA5 11375, New York",34631
30,8710000US3613756,"ZCTA5 13756, New York",582
31,8710000US3614810,"ZCTA5 14810, New York",5955
32,8710000US3611763,"ZCTA5 11763, New York",9629
33,8710000US3612210,"ZCTA5 12210, New York",6252
34,8710000US3614885,"ZCTA5 14885, New York",419
35,8710000US3612816,"ZCTA5 12816, New York",2400
36,8710000US3612917,"ZCTA5 12917, New York",609
37,8710000US3614420,"ZCTA5 14420, New York",7612
38,8710000US3612760,"ZCTA5 12760, New York",592
39,8710000US3611005,"ZCTA5 11005, New York",1852
40,8710000US3611217,"ZCTA5 11217, New York",17581
41,8710000US3614432,"ZCTA5 14432, New York",2358
42,8710000US3612477,"ZCTA5 12477, New York",8842
43,8710000US3612792,"ZCTA5 12792, New York",230
44,8710000US3613621,"ZCTA5 13621, New York",338
45,8710000US3612515,"ZCTA5 12515, New York",616
46,8710000US3614507,"ZCTA5 14507, New York",890
47,8710000US3610516,"ZCTA5 10516, New York",2412
48,8710000US3613812,"ZCTA5 13812, New York",1011
49,8710000US3611715,"ZCTA5 11715, New York",1752
50,8710000US3612015,"ZCTA5 12015, New York",1641
51,8710000US3612306,"ZCTA5 12306, New York",11533
52,8710000US3612409,"ZCTA5 12409, New York",589
53,8710000US3614456,"ZCTA5 14456, New York",8724
54,8710000US3614817,"ZCTA5 14817, New York",1080
55,8710000US3610006,"ZCTA5 10006, New York",1991
56,8710000US3610463,"ZCTA5 10463, New York",30368
57,8710000US3612157,"ZCTA5 12157, New York",1888
58,8710000US3613319,"ZCTA5 13319, New York",461
59,8710000US3614427,"ZCTA5 14427, New York",994
60,8710000US3612066,"ZCTA5 12066, New York",946
61,8710000US3612873,"ZCTA5 12873, New York",406
62,8710000US3613035,"ZCTA5 13035, New York",3542
63,8710000US3613364,"ZCTA5 13364, New York",111
64,8710000US3613041,"ZCTA5 13041, New York",3992
65,8710000US3614873,"ZCTA5 14873, New York",1770
66,8710000US3611931,"ZCTA5 11931, New York",103
67,8710000US3612956,"ZCTA5 12956, New York",547
68,8710000US3613339,"ZCTA5 13339, New York",2943
69,8710000US3614722,"ZCTA5 14722, New York",1224
70,8710000US3612861,"ZCTA5 12861, New York",674
71,8710000US3610308,"ZCTA5 10308, New York",10715
72,8710000US3612912,"ZCTA5 12912, New York",1241
73,8710000US3613111,"ZCTA5 13111, New York",689
74,8710000US3613476,"ZCTA5 13476, New York",1364
75,8710000US3612742,"ZCTA5 12742, New York",131
76,8710000US3612962,"ZCTA5 12962, New York",2283
77,8710000US3613032,"ZCTA5 13032, New York",5785
78,8710000US3613757,"ZCTA5 13757, New York",643
79,8710000US3612723,"ZCTA5 12723, New York",1105
80,8710000US3614757,"ZCTA5 14757, New York",2530
81,8710000US3610578,"ZCTA5 10578, New York",252
82,8710000US3612160,"ZCTA5 12160, New York",415
83,8710000US3610522,"ZCTA5 10522, New York",4191
84,8710000US3614891,"ZCTA5 14891, New York",2070
85,8710000US3610930,"ZCTA5 10930, New York",3091
86,8710000US3610007,"ZCTA5 10007, New York",3143
87,8710000US3612180,"ZCTA5 12180, New York",24331
88,8710000US3612918,"ZCTA5 12918, New York",1023
89,8710000US3612992,"ZCTA5 12992, New York",2046
90,8710000US3613402,"ZCTA5 13402, New York",714
91,8710000US3613431,"ZCTA5 13431, New York",841
92,8710000US3614534,"ZCTA5 14534, New York",12390
93,8710000US3611581,"ZCTA5 11581, New York",7270
94,8710000US3611784,"ZCTA5 11784, New York",8380
95,8710000US3613078,"ZCTA5 13078, New York",3759
96,8710000US3613365,"ZCTA5 13365, New York",4424
97,8710000US3613404,"ZCTA5 13404, New York",93
98,8710000US3613141,"ZCTA5 13141, New York",284
99,8710000US3613494,"ZCTA5 13494, New York",608
100,8710000US3614743,"ZCTA5 14743, New York",953
101,8710000US3611103,"ZCTA5 11103, New York",18518
102,8710000US3611576,"ZCTA5 11576, New York",4630
103,8710000US3613780,"ZCTA5 13780, New York",560
104,8710000US3611758,"ZCTA5 11758, New York",18795
105,8710000US3613345,"ZCTA5 13345, New York",93
106,8710000US3614850,"ZCTA5 14850, New York",26467
107,8710000US3612836,"ZCTA5 12836, New York",731
108,8710000US3611733,"ZCTA5 11733, New York",6326
109,8710000US3612801,"ZCTA5 12801, New York",7112
110,8710000US3611520,"ZCTA5 11520, New York",14000
111,8710000US3612455,"ZCTA5 12455, New York",1695
112,8710000US3610177,"ZCTA5 10177, New York",0
113,8710000US3613904,"ZCTA5 13904, New York",4256
114,8710000US3612504,"ZCTA5 12504, New York",47
115,8710000US3612827,"ZCTA5 12827, New York",1860
116,8710000US3613081,"ZCTA5 13081, New York",671
117,8710000US3610466,"ZCTA5 10466, New York",24854
118,8710000US3611789,"ZCTA5 11789, New York",3105
119,8710000US3614006,"ZCTA5 14006, New York",4920
120,8710000US3613028,"ZCTA5 13028, New York",817
121,8710000US3613787,"ZCTA5 13787, New York",1642
122,8710000US3614812,"ZCTA5 14812, New York",1460
123,8710000US3611545,"ZCTA5 11545, New York",4331
124,8710000US3612935,"ZCTA5 12935, New York",960
125,8710000US3614065,"ZCTA5 14065, New York",830
126,8710000US3610579,"ZCTA5 10579, New York",3551
127,8710000US3610517,"ZCTA5 10517, New York",224
128,8710000US3612565,"ZCTA5 12565, New York",705
129,8710000US3612446,"ZCTA5 12446, New York",2776
130,8710000US3613630,"ZCTA5 13630, New York",596
131,8710000US3612884,"ZCTA5 12884, New York",201
132,8710000US3610510,"ZCTA5 10510, New York",3562
133,8710000US3613746,"ZCTA5 13746, New York",1132
134,8710000US3614487,"ZCTA5 14487, New York",2700
135,8710000US3610956,"ZCTA5 10956, New York",10600
136,8710000US3613461,"ZCTA5 13461, New York",1392
137,8710000US3610533,"ZCTA5 10533, New York",2924
138,8710000US3610964,"ZCTA5 10964, New York",601
139,8710000US3612850,"ZCTA5 12850, New York",1390
140,8710000US3611976,"ZCTA5 11976, New York",2201
141,8710000US3612058,"ZCTA5 12058, New York",709
142,8710000US3613219,"ZCTA5 13219, New York",6781
143,8710000US3614441,"ZCTA5 14441, New York",185
144,8710000US3611596,"ZCTA5 11596, New York",3782
145,8710000US3610541,"ZCTA5 10541, New York",9425
146,8710000US3614479,"ZCTA5 14479, New York",111
147,8710000US3611451,"ZCTA5 11451, New York",0
148,8710000US3614005,"ZCTA5 14005, New York",760
149,8710000US3613903,"ZCTA5 13903, New York",8613
150,8710000US3612843,"ZCTA5 12843, New York",421
151,8710000US3614783,"ZCTA5 14783, New York",197
152,8710000US3611575,"ZCTA5 11575, New York",4369
153,8710000US3612086,"ZCTA5 12086, New York",910
154,8710000US3612871,"ZCTA5 12871, New York",1764
155,8710000US3612993,"ZCTA5 12993, New York",1197
156,8710000US3613136,"ZCTA5 13136, New York",286
157,8710000US3610025,"ZCTA5 10025, New York",47617
158,8710000US3613155,"ZCTA5 13155, New York",327
159,8710000US3613838,"ZCTA5 13838, New York",2153
160,8710000US3611220,"ZCTA5 11220, New York",31045
161,8710000US3611104,"ZCTA5 11104, New York",12532
162,8710000US3610535,"ZCTA5 10535, New York",239
163,8710000US3612513,"ZCTA5 12513, New York",367
164,8710000US3613315,"ZCTA5 13315, New York",718
165,8710000US3611778,"ZCTA5 11778, New York",4971
166,8710000US3613495,"ZCTA5 13495, New York",1037
167,8710000US3613625,"ZCTA5 13625, New York",1151
168,8710000US3614043,"ZCTA5 14043, New York",11475
169,8710000US3614742,"ZCTA5 14742, New York",128
170,8710000US3612193,"ZCTA5 12193, New York",928
