,GEO_ID,NAME,H016C001,H016C002,H016C003,H016C004,H016C005,H016C006,H016C007,H016C008,H016C009,H016C010,H016C011,H016C012,H016C013,H016C014,H016C015,H016C016,H016C017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
1,8710000US3606390,"ZCTA5 06390, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8710000US3610001,"ZCTA5 10001, New York",36,2,0,0,1,0,0,0,1,34,20,10,3,1,0,0,0
3,8710000US3610002,"ZCTA5 10002, New York",142,11,2,7,0,2,0,0,0,131,47,20,25,12,15,8,4
4,8710000US3610003,"ZCTA5 10003, New York",41,4,1,0,1,2,0,0,0,37,24,9,3,1,0,0,0
5,8710000US3610004,"ZCTA5 10004, New York",6,0,0,0,0,0,0,0,0,6,2,3,0,1,0,0,0
6,8710000US3610005,"ZCTA5 10005, New York",5,2,0,1,1,0,0,0,0,3,1,1,1,0,0,0,0
7,8710000US3610006,"ZCTA5 10006, New York",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,8710000US3610007,"ZCTA5 10007, New York",3,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
9,8710000US3610009,"ZCTA5 10009, New York",115,12,5,5,2,0,0,0,0,103,28,32,20,13,6,2,2
10,8710000US3610010,"ZCTA5 10010, New York",34,4,4,0,0,0,0,0,0,30,22,5,0,2,1,0,0
11,8710000US3610011,"ZCTA5 10011, New York",50,11,5,5,1,0,0,0,0,39,17,15,4,1,1,1,0
12,8710000US3610012,"ZCTA5 10012, New York",14,2,1,1,0,0,0,0,0,12,8,2,1,0,1,0,0
13,8710000US3610013,"ZCTA5 10013, New York",8,1,0,1,0,0,0,0,0,7,3,1,1,1,1,0,0
14,8710000US3610014,"ZCTA5 10014, New York",35,7,5,2,0,0,0,0,0,28,19,8,1,0,0,0,0
15,8710000US3610016,"ZCTA5 10016, New York",46,7,5,1,1,0,0,0,0,39,15,14,3,5,2,0,0
16,8710000US3610017,"ZCTA5 10017, New York",8,2,2,0,0,0,0,0,0,6,4,0,1,1,0,0,0
17,8710000US3610018,"ZCTA5 10018, New York",5,1,1,0,0,0,0,0,0,4,1,2,0,1,0,0,0
18,8710000US3610019,"ZCTA5 10019, New York",64,1,0,1,0,0,0,0,0,63,32,16,11,4,0,0,0
19,8710000US3610020,"ZCTA5 10020, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8710000US3610021,"ZCTA5 10021, New York",23,7,3,2,2,0,0,0,0,16,12,1,2,1,0,0,0
21,8710000US3610022,"ZCTA5 10022, New York",15,4,2,2,0,0,0,0,0,11,8,3,0,0,0,0,0
22,8710000US3610023,"ZCTA5 10023, New York",55,7,3,2,1,1,0,0,0,48,22,9,7,6,2,0,2
23,8710000US3610024,"ZCTA5 10024, New York",52,9,2,2,0,3,1,0,1,43,18,14,3,3,3,1,1
24,8710000US3610025,"ZCTA5 10025, New York",156,8,2,4,1,1,0,0,0,148,61,38,26,9,5,5,4
25,8710000US3610026,"ZCTA5 10026, New York",80,7,3,2,0,1,0,0,1,73,21,17,13,11,6,2,3
26,8710000US3610027,"ZCTA5 10027, New York",159,8,4,2,1,0,1,0,0,151,54,40,24,16,8,6,3
27,8710000US3610028,"ZCTA5 10028, New York",17,3,1,0,0,1,1,0,0,14,6,6,1,0,1,0,0
28,8710000US3610029,"ZCTA5 10029, New York",286,16,5,5,2,2,2,0,0,270,68,73,42,32,24,15,16
29,8710000US3610030,"ZCTA5 10030, New York",82,2,0,2,0,0,0,0,0,80,25,20,12,10,6,2,5
30,8710000US3610031,"ZCTA5 10031, New York",212,11,4,2,0,1,2,1,1,201,41,47,33,27,18,16,19
31,8710000US3610032,"ZCTA5 10032, New York",240,5,3,0,1,0,1,0,0,235,45,45,45,40,20,17,23
32,8710000US3610033,"ZCTA5 10033, New York",185,8,2,2,1,2,1,0,0,177,26,35,41,27,19,11,18
33,8710000US3610034,"ZCTA5 10034, New York",158,5,1,1,1,1,0,0,1,153,33,31,31,27,11,8,12
34,8710000US3610035,"ZCTA5 10035, New York",149,5,3,0,1,0,0,1,0,144,48,31,25,18,10,4,8
35,8710000US3610036,"ZCTA5 10036, New York",48,5,1,3,1,0,0,0,0,43,18,15,5,4,1,0,0
36,8710000US3610037,"ZCTA5 10037, New York",55,4,0,3,1,0,0,0,0,51,25,9,4,6,4,3,0
37,8710000US3610038,"ZCTA5 10038, New York",22,3,0,2,1,0,0,0,0,19,5,10,4,0,0,0,0
38,8710000US3610039,"ZCTA5 10039, New York",61,4,0,2,1,1,0,0,0,57,15,20,6,7,5,1,3
39,8710000US3610040,"ZCTA5 10040, New York",150,5,1,2,2,0,0,0,0,145,30,41,20,23,15,9,7
40,8710000US3610044,"ZCTA5 10044, New York",10,0,0,0,0,0,0,0,0,10,4,4,1,0,0,0,1
41,8710000US3610065,"ZCTA5 10065, New York",10,2,2,0,0,0,0,0,0,8,6,1,0,0,1,0,0
42,8710000US3610069,"ZCTA5 10069, New York",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
43,8710000US3610075,"ZCTA5 10075, New York",11,1,0,1,0,0,0,0,0,10,8,1,0,1,0,0,0
44,8710000US3610103,"ZCTA5 10103, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8710000US3610110,"ZCTA5 10110, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8710000US3610111,"ZCTA5 10111, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8710000US3610112,"ZCTA5 10112, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8710000US3610115,"ZCTA5 10115, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8710000US3610119,"ZCTA5 10119, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8710000US3610128,"ZCTA5 10128, New York",42,8,4,2,2,0,0,0,0,34,17,9,3,4,1,0,0
51,8710000US3610152,"ZCTA5 10152, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8710000US3610153,"ZCTA5 10153, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8710000US3610154,"ZCTA5 10154, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8710000US3610162,"ZCTA5 10162, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,8710000US3610165,"ZCTA5 10165, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8710000US3610167,"ZCTA5 10167, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8710000US3610168,"ZCTA5 10168, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8710000US3610169,"ZCTA5 10169, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8710000US3610170,"ZCTA5 10170, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8710000US3610171,"ZCTA5 10171, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8710000US3610172,"ZCTA5 10172, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8710000US3610173,"ZCTA5 10173, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,8710000US3610174,"ZCTA5 10174, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8710000US3610177,"ZCTA5 10177, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8710000US3610199,"ZCTA5 10199, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,8710000US3610271,"ZCTA5 10271, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,8710000US3610278,"ZCTA5 10278, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,8710000US3610279,"ZCTA5 10279, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,8710000US3610280,"ZCTA5 10280, New York",2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
70,8710000US3610282,"ZCTA5 10282, New York",2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
71,8710000US3610301,"ZCTA5 10301, New York",89,20,4,9,0,4,2,1,0,69,29,17,8,3,3,8,1
72,8710000US3610302,"ZCTA5 10302, New York",36,9,1,2,1,4,1,0,0,27,5,4,5,5,3,1,4
73,8710000US3610303,"ZCTA5 10303, New York",62,30,0,4,8,9,6,1,2,32,10,7,5,2,0,1,7
74,8710000US3610304,"ZCTA5 10304, New York",77,20,1,6,2,6,2,2,1,57,13,14,8,4,10,5,3
75,8710000US3610305,"ZCTA5 10305, New York",37,11,0,2,4,2,2,1,0,26,5,6,6,5,4,0,0
