,GEO_ID,NAME,H016D001,H016D002,H016D003,H016D004,H016D005,H016D006,H016D007,H016D008,H016D009,H016D010,H016D011,H016D012,H016D013,H016D014,H016D017,H016D015,H016D016
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!7-or-more-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household
1,8710000US3606390,"ZCTA5 06390, New York",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,8710000US3610001,"ZCTA5 10001, New York",1879,204,87,71,27,17,2,0,0,1675,873,534,162,77,1,21,7
3,8710000US3610002,"ZCTA5 10002, New York",12908,928,239,279,145,148,45,37,35,11980,2949,3264,1941,1722,577,1007,520
4,8710000US3610003,"ZCTA5 10003, New York",3204,813,431,256,73,42,10,0,1,2391,1306,732,217,92,3,27,14
5,8710000US3610004,"ZCTA5 10004, New York",368,111,46,36,13,10,5,1,0,257,144,90,12,10,0,1,0
6,8710000US3610005,"ZCTA5 10005, New York",897,175,94,47,24,9,1,0,0,722,383,256,57,23,0,3,0
7,8710000US3610006,"ZCTA5 10006, New York",360,83,45,31,4,2,0,1,0,277,138,106,24,7,0,2,0
8,8710000US3610007,"ZCTA5 10007, New York",376,111,33,30,17,23,7,1,0,265,91,104,37,27,0,5,1
9,8710000US3610009,"ZCTA5 10009, New York",3503,252,95,83,29,24,13,4,4,3251,1033,1094,599,309,36,135,45
10,8710000US3610010,"ZCTA5 10010, New York",2113,545,288,172,52,24,5,3,1,1568,752,521,189,84,2,15,5
11,8710000US3610011,"ZCTA5 10011, New York",2453,815,456,237,68,39,13,2,0,1638,1033,425,95,48,5,19,13
12,8710000US3610012,"ZCTA5 10012, New York",1827,281,121,93,34,28,4,1,0,1546,687,489,179,109,19,46,17
13,8710000US3610013,"ZCTA5 10013, New York",4064,565,194,184,82,74,17,9,5,3499,1281,979,507,374,81,177,100
14,8710000US3610014,"ZCTA5 10014, New York",1078,265,146,76,19,18,5,0,1,813,525,223,48,13,1,1,2
15,8710000US3610016,"ZCTA5 10016, New York",5166,1474,772,452,158,67,17,5,3,3692,1965,1216,364,112,3,29,3
16,8710000US3610017,"ZCTA5 10017, New York",1899,725,381,231,72,30,10,0,1,1174,791,290,67,19,1,4,2
17,8710000US3610018,"ZCTA5 10018, New York",764,68,40,17,7,3,1,0,0,696,367,219,80,19,1,9,1
18,8710000US3610019,"ZCTA5 10019, New York",4080,736,392,241,69,26,6,2,0,3344,1687,1141,363,122,1,24,6
19,8710000US3610020,"ZCTA5 10020, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8710000US3610021,"ZCTA5 10021, New York",1730,502,241,130,68,49,11,2,1,1228,756,324,88,46,1,10,3
21,8710000US3610022,"ZCTA5 10022, New York",1640,711,350,210,75,58,14,4,0,929,562,257,71,34,0,4,1
22,8710000US3610023,"ZCTA5 10023, New York",2906,900,422,278,98,88,12,2,0,2006,1106,569,213,90,1,23,4
23,8710000US3610024,"ZCTA5 10024, New York",1648,507,213,131,75,67,16,5,0,1141,660,323,95,43,0,19,1
24,8710000US3610025,"ZCTA5 10025, New York",3309,676,272,204,97,80,19,2,2,2633,1281,837,303,147,8,42,15
25,8710000US3610026,"ZCTA5 10026, New York",590,251,90,73,53,26,4,0,5,339,124,127,45,17,3,13,10
26,8710000US3610027,"ZCTA5 10027, New York",1394,250,83,96,36,29,4,2,0,1144,426,425,148,96,5,34,10
27,8710000US3610028,"ZCTA5 10028, New York",1820,473,196,121,65,69,13,9,0,1347,807,342,121,60,2,8,7
28,8710000US3610029,"ZCTA5 10029, New York",1995,127,43,40,19,13,9,1,2,1868,554,573,314,232,34,116,45
29,8710000US3610030,"ZCTA5 10030, New York",183,35,9,12,6,5,2,1,0,148,64,45,15,10,2,9,3
30,8710000US3610031,"ZCTA5 10031, New York",565,82,23,24,17,12,4,1,1,483,172,139,84,60,4,17,7
31,8710000US3610032,"ZCTA5 10032, New York",793,71,23,23,9,9,3,2,2,722,230,255,132,71,6,15,13
32,8710000US3610033,"ZCTA5 10033, New York",525,109,41,39,9,15,3,1,1,416,154,116,74,43,7,17,5
33,8710000US3610034,"ZCTA5 10034, New York",382,63,25,24,9,5,0,0,0,319,114,106,48,24,4,12,11
34,8710000US3610035,"ZCTA5 10035, New York",431,116,43,31,23,9,6,1,3,315,126,81,43,35,5,13,12
35,8710000US3610036,"ZCTA5 10036, New York",2389,333,160,128,32,11,2,0,0,2056,1077,663,208,81,3,18,6
36,8710000US3610037,"ZCTA5 10037, New York",156,5,2,2,1,0,0,0,0,151,73,43,23,8,0,4,0
37,8710000US3610038,"ZCTA5 10038, New York",2748,748,286,296,78,67,18,2,1,2000,718,742,261,173,20,64,22
38,8710000US3610039,"ZCTA5 10039, New York",160,55,18,14,14,7,1,1,0,105,26,32,20,9,8,5,5
39,8710000US3610040,"ZCTA5 10040, New York",519,127,45,47,19,11,3,1,1,392,169,120,51,39,4,6,3
40,8710000US3610044,"ZCTA5 10044, New York",842,65,24,18,11,11,1,0,0,777,245,236,153,106,6,26,5
41,8710000US3610065,"ZCTA5 10065, New York",1452,369,168,107,42,38,8,3,3,1083,541,316,136,58,3,21,8
42,8710000US3610069,"ZCTA5 10069, New York",519,224,86,65,40,29,4,0,0,295,131,94,51,16,0,3,0
43,8710000US3610075,"ZCTA5 10075, New York",1012,320,150,81,38,37,13,1,0,692,398,200,58,30,0,6,0
44,8710000US3610103,"ZCTA5 10103, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8710000US3610110,"ZCTA5 10110, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8710000US3610111,"ZCTA5 10111, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8710000US3610112,"ZCTA5 10112, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8710000US3610115,"ZCTA5 10115, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8710000US3610119,"ZCTA5 10119, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8710000US3610128,"ZCTA5 10128, New York",2935,684,266,188,114,92,21,3,0,2251,1075,743,278,122,1,27,5
51,8710000US3610152,"ZCTA5 10152, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8710000US3610153,"ZCTA5 10153, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8710000US3610154,"ZCTA5 10154, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8710000US3610162,"ZCTA5 10162, New York",38,0,0,0,0,0,0,0,0,38,5,13,9,10,0,0,1
55,8710000US3610165,"ZCTA5 10165, New York",2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
56,8710000US3610167,"ZCTA5 10167, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8710000US3610168,"ZCTA5 10168, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,8710000US3610169,"ZCTA5 10169, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8710000US3610170,"ZCTA5 10170, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8710000US3610171,"ZCTA5 10171, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8710000US3610172,"ZCTA5 10172, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,8710000US3610173,"ZCTA5 10173, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,8710000US3610174,"ZCTA5 10174, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8710000US3610177,"ZCTA5 10177, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8710000US3610199,"ZCTA5 10199, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,8710000US3610271,"ZCTA5 10271, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,8710000US3610278,"ZCTA5 10278, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,8710000US3610279,"ZCTA5 10279, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,8710000US3610280,"ZCTA5 10280, New York",829,304,103,109,50,28,11,3,0,525,210,176,95,35,2,5,2
70,8710000US3610282,"ZCTA5 10282, New York",263,26,7,4,4,9,2,0,0,237,72,71,56,33,0,5,0
71,8710000US3610301,"ZCTA5 10301, New York",849,359,40,81,75,76,49,15,23,490,130,143,78,83,4,36,16
72,8710000US3610302,"ZCTA5 10302, New York",216,146,11,21,30,33,25,9,17,70,19,14,16,6,4,7,4
73,8710000US3610303,"ZCTA5 10303, New York",556,451,24,77,98,113,71,39,29,105,20,26,17,19,6,10,7
74,8710000US3610304,"ZCTA5 10304, New York",1134,902,67,186,198,209,134,65,43,232,55,60,45,26,6,30,10
75,8710000US3610305,"ZCTA5 10305, New York",1266,925,46,166,202,244,141,69,57,341,85,95,60,57,8,24,12
76,8710000US3610306,"ZCTA5 10306, New York",759,576,55,148,141,119,65,31,17,183,43,57,28,24,8,13,10
77,8710000US3610307,"ZCTA5 10307, New York",101,82,3,22,15,27,6,5,4,19,7,7,2,3,0,0,0
78,8710000US3610308,"ZCTA5 10308, New York",242,211,20,63,39,50,18,10,11,31,9,9,7,2,1,3,0
79,8710000US3610309,"ZCTA5 10309, New York",375,312,14,78,70,80,36,25,9,63,15,17,9,14,1,7,0
80,8710000US3610310,"ZCTA5 10310, New York",398,260,28,50,50,45,49,15,23,138,40,27,30,21,2,16,2
81,8710000US3610311,"ZCTA5 10311, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8710000US3610312,"ZCTA5 10312, New York",935,805,53,181,188,197,112,50,24,130,39,36,19,16,3,9,8
83,8710000US3610314,"ZCTA5 10314, New York",3270,2376,156,478,489,628,374,131,120,894,162,201,195,189,20,99,28
84,8710000US3610451,"ZCTA5 10451, New York",274,76,31,18,11,7,6,1,2,198,47,60,40,22,8,14,7
85,8710000US3610452,"ZCTA5 10452, New York",333,12,3,2,5,1,1,0,0,321,55,76,53,53,12,47,25
86,8710000US3610453,"ZCTA5 10453, New York",264,41,3,6,8,11,6,2,5,223,34,38,30,39,22,36,24
87,8710000US3610454,"ZCTA5 10454, New York",66,12,0,5,3,2,2,0,0,54,16,14,10,6,0,4,4
88,8710000US3610455,"ZCTA5 10455, New York",77,17,6,3,2,3,2,0,1,60,19,12,9,4,2,8,6
89,8710000US3610456,"ZCTA5 10456, New York",239,22,7,1,2,2,1,4,5,217,45,23,42,42,14,34,17
