,GEO_ID,NAME,H016H001,H016H002,H016H003,H016H004,H016H005,H016H006,H016H007,H016H008,H016H009,H016H010,H016H011,H016H012,H016H013,H016H014,H016H015,H016H016,H016H017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
1,8710000US3606390,"ZCTA5 06390, New York",2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2,8710000US3610001,"ZCTA5 10001, New York",1538,236,99,77,36,18,4,1,1,1302,580,356,172,100,50,28,16
3,8710000US3610002,"ZCTA5 10002, New York",8128,695,239,199,124,83,33,10,7,7433,2482,2077,1246,791,466,192,179
4,8710000US3610003,"ZCTA5 10003, New York",1786,257,135,86,23,10,3,0,0,1529,804,454,144,83,26,12,6
5,8710000US3610004,"ZCTA5 10004, New York",89,21,8,7,3,3,0,0,0,68,39,20,7,2,0,0,0
6,8710000US3610005,"ZCTA5 10005, New York",293,31,16,8,6,0,1,0,0,262,122,103,28,7,2,0,0
7,8710000US3610006,"ZCTA5 10006, New York",140,23,12,7,1,1,1,1,0,117,55,51,5,6,0,0,0
8,8710000US3610007,"ZCTA5 10007, New York",134,27,8,4,7,7,1,0,0,107,36,41,13,13,4,0,0
9,8710000US3610009,"ZCTA5 10009, New York",6353,389,140,107,61,50,19,10,2,5964,2025,1716,995,654,324,144,106
10,8710000US3610010,"ZCTA5 10010, New York",1205,185,96,58,17,10,3,1,0,1020,503,286,137,55,22,14,3
11,8710000US3610011,"ZCTA5 10011, New York",2785,472,227,167,47,21,4,4,2,2313,1223,612,233,123,68,31,23
12,8710000US3610012,"ZCTA5 10012, New York",865,89,34,32,14,7,2,0,0,776,367,266,74,36,21,4,8
13,8710000US3610013,"ZCTA5 10013, New York",521,109,34,32,13,25,5,0,0,412,193,141,47,23,4,3,1
14,8710000US3610014,"ZCTA5 10014, New York",991,182,70,62,25,15,8,2,0,809,448,233,72,41,10,2,3
15,8710000US3610016,"ZCTA5 10016, New York",2233,356,184,103,38,27,3,1,0,1877,953,582,190,99,34,13,6
16,8710000US3610017,"ZCTA5 10017, New York",625,213,133,58,16,5,1,0,0,412,254,110,32,11,5,0,0
17,8710000US3610018,"ZCTA5 10018, New York",443,40,18,10,6,4,2,0,0,403,191,99,63,24,12,12,2
18,8710000US3610019,"ZCTA5 10019, New York",3242,251,130,74,26,12,3,5,1,2991,1431,843,353,199,93,40,32
19,8710000US3610020,"ZCTA5 10020, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8710000US3610021,"ZCTA5 10021, New York",1134,305,131,88,49,25,10,1,1,829,479,222,68,37,18,5,0
21,8710000US3610022,"ZCTA5 10022, New York",917,329,162,110,32,21,2,1,1,588,349,160,46,19,8,6,0
22,8710000US3610023,"ZCTA5 10023, New York",2361,374,176,123,37,28,8,1,1,1987,956,555,240,140,64,19,13
23,8710000US3610024,"ZCTA5 10024, New York",2753,390,126,103,73,51,23,6,8,2363,1143,641,270,173,81,29,26
24,8710000US3610025,"ZCTA5 10025, New York",8282,728,239,230,128,81,37,6,7,7554,2879,2082,1128,757,394,161,153
25,8710000US3610026,"ZCTA5 10026, New York",2609,299,105,74,59,44,10,2,5,2310,606,573,432,362,204,73,60
26,8710000US3610027,"ZCTA5 10027, New York",4989,264,77,89,48,25,13,5,7,4725,1175,1243,889,649,415,172,182
27,8710000US3610028,"ZCTA5 10028, New York",1179,220,82,62,28,32,14,1,1,959,534,275,69,56,23,1,1
28,8710000US3610029,"ZCTA5 10029, New York",14248,473,174,138,70,47,28,11,5,13775,4117,3512,2371,1719,1011,542,503
29,8710000US3610030,"ZCTA5 10030, New York",2078,94,31,25,17,9,8,2,2,1984,590,460,331,294,161,71,77
30,8710000US3610031,"ZCTA5 10031, New York",9661,464,114,111,84,65,49,20,21,9197,1614,1908,1747,1498,1046,637,747
31,8710000US3610032,"ZCTA5 10032, New York",12139,424,91,90,98,71,37,24,13,11715,2270,2505,2294,1867,1273,695,811
32,8710000US3610033,"ZCTA5 10033, New York",11515,365,117,86,64,44,24,19,11,11150,1989,2485,2175,1881,1239,649,732
33,8710000US3610034,"ZCTA5 10034, New York",9200,282,79,88,51,31,19,8,6,8918,1795,2193,1863,1415,844,427,381
34,8710000US3610035,"ZCTA5 10035, New York",5731,258,78,60,54,39,13,10,4,5473,1784,1204,852,676,455,231,271
35,8710000US3610036,"ZCTA5 10036, New York",2100,151,72,38,21,12,5,2,1,1949,1032,515,206,112,54,13,17
36,8710000US3610037,"ZCTA5 10037, New York",1163,48,15,20,7,5,0,1,0,1115,318,280,232,140,85,36,24
37,8710000US3610038,"ZCTA5 10038, New York",1205,104,42,40,12,6,3,1,0,1101,391,358,135,103,54,23,37
38,8710000US3610039,"ZCTA5 10039, New York",2244,124,50,26,23,11,9,3,2,2120,434,556,428,311,189,100,102
39,8710000US3610040,"ZCTA5 10040, New York",9632,335,108,80,71,47,15,11,3,9297,1784,2160,1918,1618,940,457,420
40,8710000US3610044,"ZCTA5 10044, New York",531,24,9,8,4,3,0,0,0,507,203,136,86,47,17,9,9
41,8710000US3610065,"ZCTA5 10065, New York",944,237,111,65,31,17,11,2,0,707,372,213,68,28,22,4,0
42,8710000US3610069,"ZCTA5 10069, New York",170,31,7,9,3,10,2,0,0,139,74,38,16,9,2,0,0
43,8710000US3610075,"ZCTA5 10075, New York",703,204,80,70,28,19,7,0,0,499,289,143,33,25,6,3,0
44,8710000US3610103,"ZCTA5 10103, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8710000US3610110,"ZCTA5 10110, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8710000US3610111,"ZCTA5 10111, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8710000US3610112,"ZCTA5 10112, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8710000US3610115,"ZCTA5 10115, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8710000US3610119,"ZCTA5 10119, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8710000US3610128,"ZCTA5 10128, New York",2777,331,117,104,52,43,10,5,0,2446,1161,735,290,167,66,18,9
51,8710000US3610152,"ZCTA5 10152, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8710000US3610153,"ZCTA5 10153, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8710000US3610154,"ZCTA5 10154, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8710000US3610162,"ZCTA5 10162, New York",32,1,0,0,1,0,0,0,0,31,10,8,3,10,0,0,0
55,8710000US3610165,"ZCTA5 10165, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8710000US3610167,"ZCTA5 10167, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
