,GEO_ID,NAME,H016I001,H016I002,H016I003,H016I004,H016I005,H016I006,H016I007,H016I008,H016I009,H016I010,H016I011,H016I012,H016I013,H016I014,H016I015,H016I016,H016I017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
1,8710000US3606390,"ZCTA5 06390, New York",114,56,17,29,5,2,3,0,0,58,27,19,4,5,2,1,0
2,8710000US3610001,"ZCTA5 10001, New York",6695,2254,1173,715,206,126,26,6,2,4441,2565,1456,290,103,20,7,0
3,8710000US3610002,"ZCTA5 10002, New York",9314,3149,1484,1017,324,215,53,25,31,6165,3281,2106,566,144,44,12,12
4,8710000US3610003,"ZCTA5 10003, New York",22356,7114,3634,2369,656,364,77,11,3,15242,9025,4574,1136,410,76,11,10
5,8710000US3610004,"ZCTA5 10004, New York",1154,295,125,78,52,35,4,1,0,859,399,315,93,40,6,4,2
6,8710000US3610005,"ZCTA5 10005, New York",2805,430,186,151,52,31,9,1,0,2375,1182,926,201,59,4,3,0
7,8710000US3610006,"ZCTA5 10006, New York",1164,170,86,66,11,5,2,0,0,994,483,364,112,28,5,2,0
8,8710000US3610007,"ZCTA5 10007, New York",2218,669,155,208,142,121,41,2,0,1549,672,542,189,118,22,6,0
9,8710000US3610009,"ZCTA5 10009, New York",17587,1687,797,582,190,99,14,4,1,15900,7549,5547,2023,647,97,24,13
10,8710000US3610010,"ZCTA5 10010, New York",12251,3338,1757,1088,257,185,44,2,5,8913,4838,2954,773,298,38,10,2
11,8710000US3610011,"ZCTA5 10011, New York",23488,8837,4545,2917,729,524,108,8,6,14651,9234,4250,768,316,63,12,8
12,8710000US3610012,"ZCTA5 10012, New York",10106,2162,899,761,258,193,39,10,2,7944,4586,2584,523,193,46,11,1
13,8710000US3610013,"ZCTA5 10013, New York",7011,2447,607,817,447,433,120,18,5,4564,2182,1570,531,224,45,7,5
14,8710000US3610014,"ZCTA5 10014, New York",16992,4739,2237,1580,500,312,87,18,5,12253,7719,3581,639,236,60,12,6
15,8710000US3610016,"ZCTA5 10016, New York",23109,5898,3109,2049,413,271,38,15,3,17211,9605,5777,1374,364,72,15,4
16,8710000US3610017,"ZCTA5 10017, New York",7789,2812,1639,887,166,100,14,5,1,4977,3189,1331,322,105,24,5,1
17,8710000US3610018,"ZCTA5 10018, New York",1627,309,140,110,33,23,3,0,0,1318,802,412,78,19,6,1,0
18,8710000US3610019,"ZCTA5 10019, New York",16900,3503,1874,1244,226,136,20,3,0,13397,7961,4190,847,325,45,20,9
19,8710000US3610020,"ZCTA5 10020, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8710000US3610021,"ZCTA5 10021, New York",21205,9103,4070,3147,871,746,216,41,12,12102,7373,3311,800,480,116,19,3
21,8710000US3610022,"ZCTA5 10022, New York",16211,7936,3979,2933,545,389,72,15,3,8275,5158,2320,509,235,43,6,4
22,8710000US3610023,"ZCTA5 10023, New York",27318,11195,5381,3578,1052,894,241,39,10,16123,9595,4550,1181,627,141,28,1
