,GEO_ID,NAME,H011B001,H011B002,H011B003,H011B004
0,id,Geographic Area Name,Population in occupied housing units,Population in occupied housing units!!Owned with a mortgage or a loan,Population in occupied housing units!!Owned free and clear,Population in occupied housing units!!Renter occupied
1,8710000US3606390,"ZCTA5 06390, New York",2,0,0,2
2,8710000US3610001,"ZCTA5 10001, New York",1452,56,100,1296
3,8710000US3610002,"ZCTA5 10002, New York",6033,125,309,5599
4,8710000US3610003,"ZCTA5 10003, New York",1033,83,39,911
5,8710000US3610004,"ZCTA5 10004, New York",83,16,2,65
6,8710000US3610005,"ZCTA5 10005, New York",215,11,0,204
7,8710000US3610006,"ZCTA5 10006, New York",136,9,1,126
8,8710000US3610007,"ZCTA5 10007, New York",134,21,1,112
9,8710000US3610009,"ZCTA5 10009, New York",5443,187,196,5060
10,8710000US3610010,"ZCTA5 10010, New York",1241,81,119,1041
11,8710000US3610011,"ZCTA5 10011, New York",1876,181,64,1631
12,8710000US3610012,"ZCTA5 10012, New York",446,46,21,379
13,8710000US3610013,"ZCTA5 10013, New York",468,66,17,385
14,8710000US3610014,"ZCTA5 10014, New York",521,79,20,422
15,8710000US3610016,"ZCTA5 10016, New York",1867,159,38,1670
16,8710000US3610017,"ZCTA5 10017, New York",429,114,29,286
17,8710000US3610018,"ZCTA5 10018, New York",254,14,9,231
18,8710000US3610019,"ZCTA5 10019, New York",2137,88,35,2014
19,8710000US3610020,"ZCTA5 10020, New York",0,0,0,0
20,8710000US3610021,"ZCTA5 10021, New York",576,50,25,501
21,8710000US3610022,"ZCTA5 10022, New York",357,65,29,263
22,8710000US3610023,"ZCTA5 10023, New York",2585,211,144,2230
23,8710000US3610024,"ZCTA5 10024, New York",2758,238,233,2287
24,8710000US3610025,"ZCTA5 10025, New York",11982,641,574,10767
25,8710000US3610026,"ZCTA5 10026, New York",19098,1881,916,16301
26,8710000US3610027,"ZCTA5 10027, New York",24750,1678,999,22073
27,8710000US3610028,"ZCTA5 10028, New York",692,87,45,560
28,8710000US3610029,"ZCTA5 10029, New York",21981,461,618,20902
29,8710000US3610030,"ZCTA5 10030, New York",18798,1387,416,16995
30,8710000US3610031,"ZCTA5 10031, New York",18505,1275,1348,15882
31,8710000US3610032,"ZCTA5 10032, New York",12214,659,692,10863
32,8710000US3610033,"ZCTA5 10033, New York",4990,177,90,4723
33,8710000US3610034,"ZCTA5 10034, New York",4906,185,164,4557
34,8710000US3610035,"ZCTA5 10035, New York",12921,950,314,11657
35,8710000US3610036,"ZCTA5 10036, New York",1982,39,33,1910
36,8710000US3610037,"ZCTA5 10037, New York",13072,495,513,12064
37,8710000US3610038,"ZCTA5 10038, New York",1419,54,85,1280
38,8710000US3610039,"ZCTA5 10039, New York",16972,923,599,15450
39,8710000US3610040,"ZCTA5 10040, New York",4126,126,157,3843
40,8710000US3610044,"ZCTA5 10044, New York",1626,21,51,1554
41,8710000US3610065,"ZCTA5 10065, New York",449,43,16,390
42,8710000US3610069,"ZCTA5 10069, New York",183,31,9,143
43,8710000US3610075,"ZCTA5 10075, New York",304,33,14,257
44,8710000US3610103,"ZCTA5 10103, New York",0,0,0,0
45,8710000US3610110,"ZCTA5 10110, New York",0,0,0,0
46,8710000US3610111,"ZCTA5 10111, New York",0,0,0,0
47,8710000US3610112,"ZCTA5 10112, New York",0,0,0,0
48,8710000US3610115,"ZCTA5 10115, New York",0,0,0,0
49,8710000US3610119,"ZCTA5 10119, New York",0,0,0,0
50,8710000US3610128,"ZCTA5 10128, New York",2773,210,94,2469
51,8710000US3610152,"ZCTA5 10152, New York",0,0,0,0
52,8710000US3610153,"ZCTA5 10153, New York",0,0,0,0
53,8710000US3610154,"ZCTA5 10154, New York",0,0,0,0
54,8710000US3610162,"ZCTA5 10162, New York",19,0,0,19
55,8710000US3610165,"ZCTA5 10165, New York",0,0,0,0
56,8710000US3610167,"ZCTA5 10167, New York",0,0,0,0
57,8710000US3610168,"ZCTA5 10168, New York",0,0,0,0
58,8710000US3610169,"ZCTA5 10169, New York",0,0,0,0
59,8710000US3610170,"ZCTA5 10170, New York",0,0,0,0
60,8710000US3610171,"ZCTA5 10171, New York",0,0,0,0
61,8710000US3610172,"ZCTA5 10172, New York",0,0,0,0
62,8710000US3610173,"ZCTA5 10173, New York",0,0,0,0
63,8710000US3610174,"ZCTA5 10174, New York",0,0,0,0
64,8710000US3610177,"ZCTA5 10177, New York",0,0,0,0
65,8710000US3610199,"ZCTA5 10199, New York",0,0,0,0
66,8710000US3610271,"ZCTA5 10271, New York",0,0,0,0
67,8710000US3610278,"ZCTA5 10278, New York",0,0,0,0
68,8710000US3610279,"ZCTA5 10279, New York",0,0,0,0
69,8710000US3610280,"ZCTA5 10280, New York",230,18,4,208
70,8710000US3610282,"ZCTA5 10282, New York",114,1,0,113
71,8710000US3610301,"ZCTA5 10301, New York",9304,2138,296,6870
72,8710000US3610302,"ZCTA5 10302, New York",3958,1673,161,2124
73,8710000US3610303,"ZCTA5 10303, New York",9849,4537,236,5076
74,8710000US3610304,"ZCTA5 10304, New York",11877,3321,200,8356
75,8710000US3610305,"ZCTA5 10305, New York",1619,374,20,1225
76,8710000US3610306,"ZCTA5 10306, New York",1128,201,15,912
77,8710000US3610307,"ZCTA5 10307, New York",76,27,2,47
78,8710000US3610308,"ZCTA5 10308, New York",112,62,7,43
79,8710000US3610309,"ZCTA5 10309, New York",202,104,13,85
80,8710000US3610310,"ZCTA5 10310, New York",5713,1910,184,3619
81,8710000US3610311,"ZCTA5 10311, New York",0,0,0,0
82,8710000US3610312,"ZCTA5 10312, New York",495,357,43,95
83,8710000US3610314,"ZCTA5 10314, New York",3437,1347,168,1922
84,8710000US3610451,"ZCTA5 10451, New York",19591,1483,1672,16436
85,8710000US3610452,"ZCTA5 10452, New York",26312,716,367,25229
86,8710000US3610453,"ZCTA5 10453, New York",28680,1392,490,26798
87,8710000US3610454,"ZCTA5 10454, New York",11031,551,103,10377
88,8710000US3610455,"ZCTA5 10455, New York",11272,880,153,10239
89,8710000US3610456,"ZCTA5 10456, New York",39963,1924,824,37215
90,8710000US3610457,"ZCTA5 10457, New York",25346,1539,628,23179
91,8710000US3610458,"ZCTA5 10458, New York",19759,834,213,18712
92,8710000US3610459,"ZCTA5 10459, New York",15816,1628,291,13897
93,8710000US3610460,"ZCTA5 10460, New York",20005,1889,413,17703
94,8710000US3610461,"ZCTA5 10461, New York",3682,655,112,2915
95,8710000US3610462,"ZCTA5 10462, New York",21942,3230,858,17854
96,8710000US3610463,"ZCTA5 10463, New York",10507,1406,674,8427
97,8710000US3610464,"ZCTA5 10464, New York",149,30,9,110
98,8710000US3610465,"ZCTA5 10465, New York",4396,974,67,3355
99,8710000US3610466,"ZCTA5 10466, New York",48897,17039,2441,29417
100,8710000US3610467,"ZCTA5 10467, New York",36704,5310,1309,30085
101,8710000US3610468,"ZCTA5 10468, New York",18745,1813,535,16397
102,8710000US3610469,"ZCTA5 10469, New York",38081,14979,2326,20776
103,8710000US3610470,"ZCTA5 10470, New York",5379,1563,177,3639
104,8710000US3610471,"ZCTA5 10471, New York",1966,634,164,1168
105,8710000US3610472,"ZCTA5 10472, New York",19863,2267,752,16844
106,8710000US3610473,"ZCTA5 10473, New York",25557,4655,842,20060
107,8710000US3610474,"ZCTA5 10474, New York",3683,205,100,3378
108,8710000US3610475,"ZCTA5 10475, New York",25557,5785,6654,13118
109,8710000US3610501,"ZCTA5 10501, New York",6,5,0,1
110,8710000US3610502,"ZCTA5 10502, New York",133,93,7,33
111,8710000US3610503,"ZCTA5 10503, New York",2,2,0,0
112,8710000US3610504,"ZCTA5 10504, New York",45,30,4,11
113,8710000US3610505,"ZCTA5 10505, New York",13,11,2,0
114,8710000US3610506,"ZCTA5 10506, New York",89,68,8,13
115,8710000US3610507,"ZCTA5 10507, New York",202,62,14,126
116,8710000US3610509,"ZCTA5 10509, New York",405,264,30,111
117,8710000US3610510,"ZCTA5 10510, New York",139,103,12,24
118,8710000US3610511,"ZCTA5 10511, New York",64,17,0,47
119,8710000US3610512,"ZCTA5 10512, New York",523,396,24,103
120,8710000US3610514,"ZCTA5 10514, New York",124,90,2,32
121,8710000US3610516,"ZCTA5 10516, New York",37,16,3,18
122,8710000US3610517,"ZCTA5 10517, New York",16,3,0,13
123,8710000US3610518,"ZCTA5 10518, New York",6,3,3,0
124,8710000US3610519,"ZCTA5 10519, New York",20,5,0,15
125,8710000US3610520,"ZCTA5 10520, New York",473,161,13,299
126,8710000US3610522,"ZCTA5 10522, New York",429,71,14,344
127,8710000US3610523,"ZCTA5 10523, New York",1985,1170,160,655
128,8710000US3610524,"ZCTA5 10524, New York",82,64,8,10
129,8710000US3610526,"ZCTA5 10526, New York",47,24,12,11
130,8710000US3610527,"ZCTA5 10527, New York",5,5,0,0
131,8710000US3610528,"ZCTA5 10528, New York",125,33,7,85
132,8710000US3610530,"ZCTA5 10530, New York",1033,693,77,263
133,8710000US3610532,"ZCTA5 10532, New York",36,23,1,12
134,8710000US3610533,"ZCTA5 10533, New York",92,42,0,50
135,8710000US3610535,"ZCTA5 10535, New York",29,9,2,18
136,8710000US3610536,"ZCTA5 10536, New York",110,80,15,15
137,8710000US3610537,"ZCTA5 10537, New York",128,73,2,53
138,8710000US3610538,"ZCTA5 10538, New York",246,71,8,167
139,8710000US3610541,"ZCTA5 10541, New York",390,280,9,101
140,8710000US3610543,"ZCTA5 10543, New York",819,241,59,519
141,8710000US3610545,"ZCTA5 10545, New York",0,0,0,0
142,8710000US3610546,"ZCTA5 10546, New York",25,15,5,5
143,8710000US3610547,"ZCTA5 10547, New York",484,247,8,229
144,8710000US3610548,"ZCTA5 10548, New York",59,21,2,36
145,8710000US3610549,"ZCTA5 10549, New York",628,171,26,431
146,8710000US3610550,"ZCTA5 10550, New York",26228,6867,1000,18361
147,8710000US3610552,"ZCTA5 10552, New York",7193,3864,572,2757
148,8710000US3610553,"ZCTA5 10553, New York",8802,3982,524,4296
149,8710000US3610560,"ZCTA5 10560, New York",26,18,1,7
150,8710000US3610562,"ZCTA5 10562, New York",3369,1200,182,1987
151,8710000US3610566,"ZCTA5 10566, New York",5475,2274,206,2995
