,GEO_ID,NAME,H011A001,H011A002,H011A003,H011A004
0,id,Geographic Area Name,Population in occupied housing units,Population in occupied housing units!!Owned with a mortgage or a loan,Population in occupied housing units!!Owned free and clear,Population in occupied housing units!!Renter occupied
1,8710000US3606390,"ZCTA5 06390, New York",229,72,43,114
2,8710000US3610001,"ZCTA5 10001, New York",12578,2157,2078,8343
3,8710000US3610002,"ZCTA5 10002, New York",25120,3489,3411,18220
4,8710000US3610003,"ZCTA5 10003, New York",38034,8006,4616,25412
5,8710000US3610004,"ZCTA5 10004, New York",2255,517,113,1625
6,8710000US3610005,"ZCTA5 10005, New York",5054,745,103,4206
7,8710000US3610006,"ZCTA5 10006, New York",2108,288,22,1798
8,8710000US3610007,"ZCTA5 10007, New York",4859,1486,270,3103
9,8710000US3610009,"ZCTA5 10009, New York",38187,1936,1517,34734
10,8710000US3610010,"ZCTA5 10010, New York",21677,3901,2074,15702
11,8710000US3610011,"ZCTA5 10011, New York",40287,10526,5398,24363
12,8710000US3610012,"ZCTA5 10012, New York",17644,2837,1551,13256
13,8710000US3610013,"ZCTA5 10013, New York",14909,4797,1487,8625
14,8710000US3610014,"ZCTA5 10014, New York",28252,6186,2874,19192
15,8710000US3610016,"ZCTA5 10016, New York",39820,7100,3255,29465
16,8710000US3610017,"ZCTA5 10017, New York",12560,3102,1590,7868
17,8710000US3610018,"ZCTA5 10018, New York",3025,426,185,2414
18,8710000US3610019,"ZCTA5 10019, New York",29876,3719,2299,23858
19,8710000US3610020,"ZCTA5 10020, New York",0,0,0,0
20,8710000US3610021,"ZCTA5 10021, New York",37975,9951,7963,20061
21,8710000US3610022,"ZCTA5 10022, New York",27298,7653,6377,13268
22,8710000US3610023,"ZCTA5 10023, New York",49231,13147,8212,27872
23,8710000US3610024,"ZCTA5 10024, New York",49536,13894,6497,29145
24,8710000US3610025,"ZCTA5 10025, New York",59240,14102,5691,39447
25,8710000US3610026,"ZCTA5 10026, New York",7358,1621,302,5435
26,8710000US3610027,"ZCTA5 10027, New York",14699,2030,845,11824
27,8710000US3610028,"ZCTA5 10028, New York",39986,9636,6662,23688
28,8710000US3610029,"ZCTA5 10029, New York",22954,1623,761,20570
29,8710000US3610030,"ZCTA5 10030, New York",2846,377,53,2416
30,8710000US3610031,"ZCTA5 10031, New York",13709,934,331,12444
31,8710000US3610032,"ZCTA5 10032, New York",15617,818,355,14444
32,8710000US3610033,"ZCTA5 10033, New York",22036,2305,915,18816
33,8710000US3610034,"ZCTA5 10034, New York",14416,1428,491,12497
34,8710000US3610035,"ZCTA5 10035, New York",7886,568,149,7169
35,8710000US3610036,"ZCTA5 10036, New York",15831,1422,605,13804
36,8710000US3610037,"ZCTA5 10037, New York",1422,117,32,1273
37,8710000US3610038,"ZCTA5 10038, New York",9995,1495,1215,7285
38,8710000US3610039,"ZCTA5 10039, New York",2581,384,30,2167
39,8710000US3610040,"ZCTA5 10040, New York",15821,1474,705,13642
40,8710000US3610044,"ZCTA5 10044, New York",5361,267,464,4630
41,8710000US3610065,"ZCTA5 10065, New York",27987,5274,4536,18177
42,8710000US3610069,"ZCTA5 10069, New York",3846,934,298,2614
43,8710000US3610075,"ZCTA5 10075, New York",22765,6741,4394,11630
44,8710000US3610103,"ZCTA5 10103, New York",0,0,0,0
45,8710000US3610110,"ZCTA5 10110, New York",0,0,0,0
46,8710000US3610111,"ZCTA5 10111, New York",0,0,0,0
47,8710000US3610112,"ZCTA5 10112, New York",0,0,0,0
48,8710000US3610115,"ZCTA5 10115, New York",0,0,0,0
49,8710000US3610119,"ZCTA5 10119, New York",0,0,0,0
50,8710000US3610128,"ZCTA5 10128, New York",48886,12264,6453,30169
51,8710000US3610152,"ZCTA5 10152, New York",0,0,0,0
52,8710000US3610153,"ZCTA5 10153, New York",0,0,0,0
53,8710000US3610154,"ZCTA5 10154, New York",0,0,0,0
54,8710000US3610162,"ZCTA5 10162, New York",1534,8,3,1523
55,8710000US3610165,"ZCTA5 10165, New York",0,0,0,0
56,8710000US3610167,"ZCTA5 10167, New York",0,0,0,0
57,8710000US3610168,"ZCTA5 10168, New York",0,0,0,0
58,8710000US3610169,"ZCTA5 10169, New York",0,0,0,0
59,8710000US3610170,"ZCTA5 10170, New York",0,0,0,0
60,8710000US3610171,"ZCTA5 10171, New York",0,0,0,0
61,8710000US3610172,"ZCTA5 10172, New York",0,0,0,0
62,8710000US3610173,"ZCTA5 10173, New York",0,0,0,0
63,8710000US3610174,"ZCTA5 10174, New York",0,0,0,0
64,8710000US3610177,"ZCTA5 10177, New York",0,0,0,0
65,8710000US3610199,"ZCTA5 10199, New York",9,0,0,9
66,8710000US3610271,"ZCTA5 10271, New York",0,0,0,0
67,8710000US3610278,"ZCTA5 10278, New York",0,0,0,0
68,8710000US3610279,"ZCTA5 10279, New York",0,0,0,0
69,8710000US3610280,"ZCTA5 10280, New York",5642,1035,314,4293
70,8710000US3610282,"ZCTA5 10282, New York",3890,215,58,3617
71,8710000US3610301,"ZCTA5 10301, New York",19865,8441,2899,8525
72,8710000US3610302,"ZCTA5 10302, New York",9442,4552,1305,3585
73,8710000US3610303,"ZCTA5 10303, New York",8953,4693,1002,3258
74,8710000US3610304,"ZCTA5 10304, New York",19557,10334,3119,6104
75,8710000US3610305,"ZCTA5 10305, New York",31706,17129,4317,10260
76,8710000US3610306,"ZCTA5 10306, New York",49130,28977,8113,12040
77,8710000US3610307,"ZCTA5 10307, New York",13221,9052,1599,2570
78,8710000US3610308,"ZCTA5 10308, New York",25742,16906,4489,4347
79,8710000US3610309,"ZCTA5 10309, New York",29378,20790,3378,5210
80,8710000US3610310,"ZCTA5 10310, New York",13701,7881,1983,3837
81,8710000US3610311,"ZCTA5 10311, New York",0,0,0,0
82,8710000US3610312,"ZCTA5 10312, New York",54276,37357,8960,7959
83,8710000US3610314,"ZCTA5 10314, New York",64215,38207,10728,15280
84,8710000US3610451,"ZCTA5 10451, New York",8530,532,236,7762
85,8710000US3610452,"ZCTA5 10452, New York",13939,247,204,13488
86,8710000US3610453,"ZCTA5 10453, New York",12798,455,180,12163
87,8710000US3610454,"ZCTA5 10454, New York",8649,480,191,7978
88,8710000US3610455,"ZCTA5 10455, New York",9576,718,195,8663
89,8710000US3610456,"ZCTA5 10456, New York",12309,749,148,11412
90,8710000US3610457,"ZCTA5 10457, New York",13598,743,297,12558
91,8710000US3610458,"ZCTA5 10458, New York",21218,744,413,20061
92,8710000US3610459,"ZCTA5 10459, New York",10491,1171,250,9070
93,8710000US3610460,"ZCTA5 10460, New York",13683,1144,558,11981
94,8710000US3610461,"ZCTA5 10461, New York",28991,7941,4155,16895
95,8710000US3610462,"ZCTA5 10462, New York",24525,4410,2040,18075
96,8710000US3610463,"ZCTA5 10463, New York",33720,7683,5295,20742
97,8710000US3610464,"ZCTA5 10464, New York",3924,1737,764,1423
98,8710000US3610465,"ZCTA5 10465, New York",27969,12656,5304,10009
99,8710000US3610466,"ZCTA5 10466, New York",6580,1151,683,4746
100,8710000US3610467,"ZCTA5 10467, New York",25021,1500,1105,22416
101,8710000US3610468,"ZCTA5 10468, New York",17751,797,616,16338
102,8710000US3610469,"ZCTA5 10469, New York",14058,5306,2577,6175
103,8710000US3610470,"ZCTA5 10470, New York",7454,1783,1119,4552
104,8710000US3610471,"ZCTA5 10471, New York",14719,5646,2571,6502
105,8710000US3610472,"ZCTA5 10472, New York",16110,1533,885,13692
106,8710000US3610473,"ZCTA5 10473, New York",13477,3559,1197,8721
107,8710000US3610474,"ZCTA5 10474, New York",2518,157,70,2291
108,8710000US3610475,"ZCTA5 10475, New York",8398,1421,2226,4751
109,8710000US3610501,"ZCTA5 10501, New York",1158,879,237,42
110,8710000US3610502,"ZCTA5 10502, New York",4400,2962,1033,405
111,8710000US3610503,"ZCTA5 10503, New York",102,40,57,5
112,8710000US3610504,"ZCTA5 10504, New York",7459,5546,1486,427
113,8710000US3610505,"ZCTA5 10505, New York",719,668,46,5
114,8710000US3610506,"ZCTA5 10506, New York",5460,3860,1175,425
115,8710000US3610507,"ZCTA5 10507, New York",4310,2186,617,1507
116,8710000US3610509,"ZCTA5 10509, New York",17269,11855,2419,2995
117,8710000US3610510,"ZCTA5 10510, New York",8306,5857,1622,827
118,8710000US3610511,"ZCTA5 10511, New York",2049,1193,340,516
119,8710000US3610512,"ZCTA5 10512, New York",23056,16595,3366,3095
120,8710000US3610514,"ZCTA5 10514, New York",10667,8134,1966,567
121,8710000US3610516,"ZCTA5 10516, New York",4976,2943,980,1053
122,8710000US3610517,"ZCTA5 10517, New York",447,248,81,118
123,8710000US3610518,"ZCTA5 10518, New York",1148,878,182,88
124,8710000US3610519,"ZCTA5 10519, New York",269,157,44,68
125,8710000US3610520,"ZCTA5 10520, New York",11002,6736,1769,2497
126,8710000US3610522,"ZCTA5 10522, New York",8147,4338,1452,2357
127,8710000US3610523,"ZCTA5 10523, New York",3312,1671,604,1037
128,8710000US3610524,"ZCTA5 10524, New York",3862,2642,731,489
129,8710000US3610526,"ZCTA5 10526, New York",1674,1173,288,213
130,8710000US3610527,"ZCTA5 10527, New York",878,644,183,51
131,8710000US3610528,"ZCTA5 10528, New York",10494,4990,2237,3267
132,8710000US3610530,"ZCTA5 10530, New York",9632,5860,2426,1346
133,8710000US3610532,"ZCTA5 10532, New York",4503,3043,988,472
134,8710000US3610533,"ZCTA5 10533, New York",6431,4041,1367,1023
135,8710000US3610535,"ZCTA5 10535, New York",439,237,22,180
