,Zip,City,State,Latitude,Longitude,geopoint
16,10166,New York,NY,40.754591,-73.976238,"40.754591,-73.976238"
82,11417,Ozone Park,NY,40.675534000000006,-73.84476,"40.675534,-73.84476"
93,11418,Richmond Hill,NY,40.698485,-73.83365,"40.698485,-73.83365"
133,11210,Brooklyn,NY,40.627946,-73.94552,"40.627946,-73.94552"
134,10012,New York,NY,40.72596,-73.99834,"40.72596,-73.99834"
138,10259,New York,NY,40.780751,-73.977182,"40.780751,-73.977182"
143,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098"
154,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371"
157,11372,Jackson Heights,NY,40.750146,-73.88433,"40.750146,-73.88433"
165,11367,Flushing,NY,40.728614,-73.82145,"40.728614,-73.82145"
195,11211,Brooklyn,NY,40.71209,-73.95427,"40.71209,-73.95427"
210,11238,Brooklyn,NY,40.680145,-73.96257,"40.680145,-73.96257"
220,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853"
221,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231"
226,11222,Brooklyn,NY,40.726302000000004,-73.94559,"40.726302,-73.94559"
241,10466,Bronx,NY,40.89095,-73.84702,"40.89095,-73.84702"
263,10123,New York,NY,40.751489,-73.990537,"40.751489,-73.990537"
267,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551"
288,10168,New York,NY,40.751933,-73.976794,"40.751933,-73.976794"
289,11219,Brooklyn,NY,40.632449,-73.99629,"40.632449,-73.99629"
299,10048,New York,NY,40.712086,-74.01227,"40.712086,-74.01227"
318,11433,Jamaica,NY,40.696538000000004,-73.78734,"40.696538,-73.78734"
326,10121,New York,NY,40.74964,-73.991889,"40.74964,-73.991889"
329,10110,New York,NY,40.753987,-73.980811,"40.753987,-73.980811"
340,10177,New York,NY,40.755345,-73.97609,"40.755345,-73.97609"
354,10007,New York,NY,40.714754,-74.00721,"40.714754,-74.00721"
358,11364,Oakland Gardens,NY,40.746718,-73.75994,"40.746718,-73.75994"
372,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616"
377,11371,Flushing,NY,40.772071999999994,-73.87509,"40.772072,-73.87509"
387,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471"
402,11692,Arverne,NY,40.592939,-73.79568,"40.592939,-73.79568"
414,11385,Ridgewood,NY,40.703069,-73.89285,"40.703069,-73.89285"
448,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541"
453,10176,New York,NY,40.75557,-73.978877,"40.75557,-73.978877"
464,10118,New York,NY,40.748998,-73.986467,"40.748998,-73.986467"
468,11375,Forest Hills,NY,40.720535,-73.84581999999999,"40.720535,-73.84582"
471,11237,Brooklyn,NY,40.703355,-73.91993000000001,"40.703355,-73.91993"
472,11411,Cambria Heights,NY,40.693538000000004,-73.73574,"40.693538,-73.73574"
480,10453,Bronx,NY,40.853017,-73.91214000000001,"40.853017,-73.91214"
485,10081,New York,NY,40.780751,-73.977182,"40.780751,-73.977182"
503,10080,New York,NY,40.780751,-73.977182,"40.780751,-73.977182"
